OBJECTID,ZONECLASS,ZONEDESC,LASTUPDATE,LASTEDITOR,SUFFIX,OVERLAY_H,OVERLAY_SD,OVERLAY_OT,PRECPLAN,ZONELABEL,BASEELEV,HEIGHT,PRECISEPLA,ShapeSTAre,ShapeSTLen,Zoning
296,R3,R3,2016-12-05,Eric Anderson - CDD,2.5,NA,NA,NA,NA,R3-2.5,NA,NA,NA,1150373.83984,9354.48058475,2
297,R3,R3,2016-12-05,Eric Anderson - CDD,1,h1s,NA,NA,NA,R3-1h1s,NA,NA,NA,55824.2705078,1315.56420825,2
298,R3,R3,2016-12-05,Eric Anderson - CDD,1,h2s,NA,NA,NA,R3-1h2s,NA,NA,NA,67290.0166016,1545.16343235,2
299,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,259285.629883,2445.50617741,NA
300,R2,R2,2016-12-05,Eric Anderson - CDD,9,NA,sd,NA,NA,R2-9sd,NA,NA,NA,63163.375,1067.16031465,2
301,R3,R3,2016-12-05,Eric Anderson - CDD,1,NA,NA,NA,NA,R3-1,NA,NA,NA,165231.030273,2439.72489325,2
302,R3,R3,2016-12-05,Eric Anderson - CDD,2,NA,NA,NA,NA,R3-2,NA,NA,NA,89864.3710938,1190.69474558,2
303,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,75805.9296875,1148.04244665,2
304,R3,R3,2016-12-05,Eric Anderson - CDD,1,h1s,NA,NA,NA,R3-1h1s,NA,NA,NA,66446.0478516,1189.83695944,2
305,R1,R1,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R1,NA,NA,NA,28127.9716797,777.3481213860548,1
306,R3,R3,2016-12-05,Eric Anderson - CDD,1,NA,NA,NA,NA,R3-1,NA,NA,NA,217294.12207,2150.94905395,2
307,R2,R2,2016-12-05,Eric Anderson - CDD,10,NA,sd,NA,NA,R2-10sd,NA,NA,NA,58738.0878906,1100.57159716,2
308,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,83710.2724609,2397.33047317,NA
309,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,445046.104492,2708.82451427,NA
310,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,19876.9697266,559.2505894144182,NA
311,R1,R1,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R1,NA,NA,NA,12557930.4883,34681.6817984,1
312,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,29667.1132813,700.3083809900728,NA
313,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,47989.0898438,966.3825612348132,NA
314,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,40906.0693359,871.1703782761316,NA
315,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,sd,NA,NA,R2sd,NA,NA,NA,55022.6347656,964.1583698894913,2
316,MM,MM,2016-12-05,Eric Anderson - CDD,40,NA,NA,NA,NA,MM-40,NA,NA,NA,6057534.98828,16646.8437851,NA
317,R3,R3,2016-12-05,Eric Anderson - CDD,2,NA,NA,NA,NA,R3-2,NA,NA,NA,1652919.0625,8440.6441981,2
318,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,304859.545898,2384.1675387,2
319,R3,R3,2016-12-05,Eric Anderson - CDD,1.25,NA,NA,NA,NA,R3-1.25,NA,NA,NA,415782.875977,2624.61868326,2
320,R3,R3,2016-12-05,Eric Anderson - CDD,2.2,NA,NA,NA,NA,R3-2.2,NA,NA,NA,7452347.12891,19145.4513097,2
321,R3,R3,2016-12-05,Eric Anderson - CDD,2,NA,NA,NA,NA,R3-2,NA,NA,NA,1035149.66113,6304.85420089,2
322,R4,R4,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R4,NA,NA,NA,167177.052734,1639.38629331,2
