FID_1,BaseZone,LotSizeZon,dZone,srZone,nZone,hZone,bwZone,psZone,smZone,GlobalID,SHAPE_Leng,SHAPE_Area,Tot_zone,Zoning
1502,RR,NA,-d1,-sr,NA,NA,NA,NA,NA,{13F16731-FFCC-4628-B24A-E2640F164092},0.017385551594934,7.375064989e-6,RR-d1-sr,1
1503,RR,NA,-d1,-sr,NA,NA,NA,NA,NA,{531652BB-34FC-42D5-9253-26A7F0732521},0.024732456846527,1.5589279023e-5,RR-d1-sr,1
1505,HS,NA,-d1,-sr,NA,NA,NA,NA,NA,{CEB8E5F7-CF1E-4420-AC38-07D697CE1ECA},0.027137364032741,4.0467234456e-5,HS-d1-sr,0
1506,HS,NA,-d1,-sr,NA,NA,NA,NA,NA,{B36C6D0E-56FB-4F7B-8A91-CEF088251802},0.053689912881806,1.10746323791e-4,HS-d1-sr,0
1507,RR,-2.5Ac,-d1,-sr,NA,NA,NA,NA,NA,{F134866B-23AF-4B9B-B3BF-E4064E3705BE},0.012171723364044,8.185329061e-6,RR-2.5Ac-d1-sr,1
1508,RR,-2.5Ac,-d1,-sr,NA,NA,NA,NA,NA,{8B479855-DA72-4C20-8663-03E284A92F93},0.005062156807839,1.036115127e-6,RR-2.5Ac-d1-sr,1
1511,HS,NA,-d1,-sr,NA,NA,NA,NA,NA,{CCCEAD60-4AD0-4C89-893A-38D3D09B3D35},0.062731703730583,1.12759210259e-4,HS-d1-sr,0
1514,A,-20Ac,-d1,NA,NA,NA,NA,NA,NA,{4B1BBF4B-A7A5-4E72-A041-2DC3C5DFAAFA},0.02837324114771,2.4323148228e-5,A-20Ac-d1,0
1515,A,-20Ac,-d1,NA,NA,NA,NA,NA,NA,{1AC942B5-5A06-4073-BA20-1596C39D7C21},0.006423066331857,2.19346582e-6,A-20Ac-d1,0
1516,A,-20Ac,-d1,NA,NA,NA,NA,NA,NA,{E81E3AD3-89E5-41CC-8314-13B99DC0E394},0.029011739679357,3.2245940254e-5,A-20Ac-d1,0
1517,A,-20Ac,-d1,NA,NA,NA,NA,NA,NA,{CCBA4151-7D6C-41C9-8CED-35B2A0BD226A},0.011663864873112,7.961990579e-6,A-20Ac-d1,0
1518,A,-20Ac,-d1,NA,NA,NA,NA,NA,NA,{D2AF35FB-5194-4E92-A0CD-F1A9434021D9},0.044914990339201,5.1093627269e-5,A-20Ac-d1,0
1519,HS,NA,-d1,NA,NA,NA,NA,NA,NA,{30FD9E50-1E05-4A4B-9940-38F2B9EB41EE},0.034476286678984,7.2554124329e-5,HS-d1,0
1524,HS,NA,-d1,NA,NA,NA,NA,NA,NA,{8BA4EB51-CF1A-4727-9A3A-C025A6853CA8},0.009446758278045,5.143810002e-6,HS-d1,0
1529,HS,NA,-d1,-sr,NA,NA,NA,NA,NA,{BE1E81FD-194E-4756-9475-4617DFDE83F5},0.003206641111378,3.88962599e-7,HS-d1-sr,0
1530,HS,NA,-d1,-sr,NA,NA,NA,NA,NA,{E7467224-FA82-4989-80DA-35C57CDFEFC0},0.001795236597111,1.04844679e-7,HS-d1-sr,0
1532,HS,NA,-d1,-sr,NA,NA,NA,NA,NA,{6E2D5A75-0C52-43F5-B07C-6ED33B0C7179},0.005690626757153,1.741252608e-6,HS-d1-sr,0
1533,HS,NA,-d1,-sr,NA,-h1,NA,NA,NA,{477C7FA1-09FC-41E3-931E-E669229B0637},0.011281612641465,4.367047611e-6,HS-d1-sr-h1,0
1534,HS,NA,-d1,-sr,NA,-h1,NA,NA,NA,{573DDB96-59A8-44BF-8931-A3BF2EB7981C},0.004497367861418,9.45407847e-7,HS-d1-sr-h1,0
1537,HS,NA,-d1,NA,NA,NA,NA,NA,NA,{4430E946-54FF-4C4A-9CF6-82AC07B0235D},0.003612574138075,5.70997647e-7,HS-d1,0
1538,HS,NA,-d1,NA,NA,NA,NA,NA,NA,{481FDDB1-B522-4285-BEAB-15CD7B6DDC2F},0.010256291004607,3.127087042e-6,HS-d1,0
1540,HS,NA,-d1,NA,NA,NA,NA,NA,NA,{E59F6FDD-EBDF-4F26-8FD5-D493D7B2B6D3},0.103215117896254,2.03433669452e-4,HS-d1,0
1542,HS,NA,-d1,NA,NA,NA,NA,NA,NA,{C7C75834-5B36-4D47-8DF2-1D536CB2E271},0.104450134563075,3.27054374981e-4,HS-d1,0
1544,RR,NA,-d1,NA,NA,NA,NA,NA,NA,{0BDA9674-8712-4CEF-9CAF-EF0B238EBE0C},0.007278135855485,1.278157461e-6,RR-d1,1
1545,RR,NA,-d1,NA,NA,NA,NA,NA,NA,{ED0EA92B-0849-457E-B5B0-BE8D77E2D5BF},0.01203459478577,5.994778661e-6,RR-d1,1
1547,RR,NA,-d1,NA,NA,NA,NA,NA,NA,{107416B2-89DB-4BC1-9730-10DEB1710E76},0.007138485039862,2.681034293e-6,RR-d1,1
1548,RR,-5Ac,NA,NA,NA,NA,NA,NA,NA,{73DDA4C2-A81A-41B7-B8FA-B2C8362EC0DE},0.001456724197293,9.9649025e-8,RR-5Ac,1
1551,HS,NA,NA,NA,NA,NA,NA,NA,NA,{71469E69-6C84-4DE5-9183-92AA728249F5},0.014541439237451,8.819993572e-6,HS,0
1554,HS,NA,NA,NA,NA,NA,NA,NA,NA,{323FE246-367A-4B00-9722-EFF9CC93EF76},0.004506318512398,1.068003463e-6,HS,0
1555,HS,NA,NA,NA,NA,NA,NA,NA,NA,{3A5B9C31-99E1-4BC2-B01F-1B23FCF7E0AA},0.006143918789775,1.97768581e-6,HS,0
1556,HS,NA,NA,NA,NA,NA,NA,NA,NA,{A95F6086-3404-430E-A403-1DA1F7545D41},0.017038804737999,1.2179266509e-5,HS,0
1559,HS,NA,NA,NA,NA,NA,NA,NA,NA,{D3AEDD9A-FBEE-4839-9F74-0366EBEA08C0},0.023061901615238,2.9717587171e-5,HS,0
1560,HS,NA,NA,NA,NA,NA,NA,NA,NA,{63D2B4BA-35F3-471E-9263-712ECAC1E961},0.021627566020216,1.7774199422e-5,HS,0
1561,HS,NA,NA,NA,NA,NA,NA,NA,NA,{CD0D2E5F-D922-4D94-A213-E9F98E386568},0.025249294187767,1.2102696816e-5,HS,0
1563,HS,NA,NA,NA,NA,NA,NA,NA,NA,{44475EA2-1718-4926-9F2C-03DA764D8A4D},0.005496133982264,4.29186264e-7,HS,0
1564,HS,NA,NA,NA,NA,NA,NA,NA,NA,{C91DB03A-1917-4F47-BF5C-293FBCD030C7},0.003157462109918,5.27239442e-7,HS,0
1566,HS,NA,NA,NA,NA,NA,NA,NA,NA,{B88C905D-475A-4F31-929D-66F55681FD8A},0.010151908671737,2.315594611e-6,HS,0
1567,HS,NA,NA,NA,NA,NA,NA,NA,NA,{EB59CBE4-D4F4-43B5-BD76-90BF8FD2D3AD},0.001891427032765,1.77443542e-7,HS,0
1568,HS,NA,NA,NA,NA,NA,NA,NA,NA,{1EBA0EB7-81BD-44D3-B51E-1C83B61561DC},0.003571660597664,7.50905312e-7,HS,0
