general_pl,id,Zoning
R-4,406,2
R-1A,407,2
R-4,408,2
R-2,409,2
R-2,410,2
R-4,411,2
R-2,412,2
R-4,413,2
R-4,414,2
R-1A,415,2
C-T,416,NA
R-2,417,2
C-SA,418,NA
C-T,419,NA
R-1A,420,2
R-4,421,2
C-SA,422,NA
R-4,423,2
R-4H,424,2
R-2A,425,2
R-1,426,1
R-2A,427,2
R-2A,428,2
R-3,429,2
R-2,430,2
R-1,431,1
R-2A,432,2
R-1,433,1
R-1,434,1
C-SA,435,NA
R-2A,436,2
R-2,437,2
R-3,438,2
R-1,439,1
C-W,440,NA
R-2,441,2
R-2,442,2
R-3,443,2
R-1,444,1
C-1,445,NA
C-SA,446,NA
R-3,447,2
R-2A,448,2
R-3,449,2
R-2A,450,2
R-2A,451,2
R-2A,452,2
C-SA,453,NA
C-SA,454,NA
C-SA,455,NA
R-2A,456,2
R-2A,457,2
R-2A,458,2
C-SA,459,NA
R-2A,460,2
R-2A,461,2
R-2A,462,2
R-2A,463,2
R-2A,464,2
C-SA,465,NA
C-SA,466,NA
C-SA,467,NA
R-2A,468,2
R-1H,469,1
R-1H,470,1
R-1H,471,1
R-1H,472,1
R-1,473,1
R-2A,474,2
R-2A,475,2
R-1H,476,1
R-2A,477,2
R-1,478,1
R-1,479,1
R-1,480,1
R-1H,481,1
R-1H,482,1
R-1H,483,1
R-1,484,1
R-1,485,1
R-1H,486,1
R-1H,487,1
R-2A,488,2
R-2,489,2
R-4,490,2
C-1,491,NA
R-1A,492,2
R-4,493,2
MULI,494,NA
R-2AH,495,2
R-2A,496,2
R-1H,497,1
R-1H,498,1
R-2AH,499,2
R-1A,500,2
MULI,501,NA
R-2,502,2
R-2,503,2
C-N,504,NA
C-W,505,NA
R-2,506,2
R-2,507,2
R-1A,508,2
R-2A,509,2
C-W,510,NA
R-1H,511,1
C-NS(H),512,NA
MULI,513,NA
R-1H,514,1
M,515,NA
C-NS(H),516,NA
R-2AH,517,2
R-1H,518,1
MULI,519,NA
R-2,520,2
R-1H,521,1
R-2AH,522,2
R-2,523,2
R-2A,524,2
R-1A,525,2
MULI,526,NA
C-N,527,NA
C-N,528,NA
R-2A,529,2
C-N,530,NA
R-2A,531,2
C-NS,532,NA
R-1H,533,1
MULI,534,NA
C-NS,535,NA
C-N,536,NA
R-1H,537,1
R-1H,538,1
C-NS,539,NA
R-1H,540,1
C-N,541,NA
C-N,542,NA
MULI,543,NA
C-N,544,NA
R-2,545,2
R-2A,546,2
C-N,547,NA
R-2A,548,2
C-W,549,NA
R-2,550,2
R-1H,551,1
R-1H,552,1
R-2,553,2
R-2A,554,2
MULI,555,NA
R-1,556,1
R-2A,557,2
C-N,558,NA
C-N,559,NA
R-2,560,2
R-2A,561,2
R-2,562,2
C-N,563,NA
MULI,564,NA
R-1,565,1
R-2,566,2
R-2,567,2
R-2,568,2
R-2,569,2
M,570,NA
R-1H,571,1
R-2,572,2
R-1A,573,2
R-1,574,1
R-5H,575,0
R-2A,576,2
R-2,577,2
R-1H,578,1
R-2A,579,2
C-W,580,NA
R-2,581,2
R-1A,582,2
R-1H,583,1
R-1,584,1
R-1,585,1
M,586,NA
R-1H,587,1
R-1H,588,1
R-2AH,589,2
R-2A,590,2
C-W,591,NA
R-2,592,2
R-2A,593,2
R-2A,594,2
MULI,595,NA
R-2AH,596,2
R-1H,597,1
R-2A,598,2
R-2,599,2
MULI,600,NA
C-NS,601,NA
R-2,602,2
R-3,603,2
C-NS,604,NA
MULI,605,NA
R-2,606,2
R-2A,607,2
R-2,608,2
R-3,609,2
R-1,610,1
R-2A,611,2
R-2,612,2
R-1,613,1
MULI,614,NA
R-2A,615,2
R-2H,616,2
R-1H,617,1
R-2A,618,2
R-1,619,1
R-2,620,2
R-1,621,1
R-1H,622,1
R-2A,623,2
R-2,624,2
R-2,625,2
M,626,NA
R-1H,627,1
R-2,628,2
R-2,629,2
R-2,630,2
R-1H,631,1
R-2H,632,2
R-2,633,2
R-2H,634,2
R-2,635,2
R-2,636,2
R-1,637,1
R-3H,638,2
R-1H,639,1
R-1H,640,1
R-2H,641,2
R-1A,642,2
R-3H,643,2
R-1,644,1
R-2H,645,2
R-1A,646,2
R-1,647,1
R-2AH,648,2
R-1,649,1
R-1,650,1
R-3H,651,2
R-2AH,652,2
R-3,653,2
R-2H,654,2
R-1A,655,2
R-3,656,2
R-2A,657,2
R-2AH,658,2
