gnrl_p_,id,city_nm,zoning
SFR,103,dublin,1
SFR,104,dublin,1
ES,105,dublin,0
SFR,106,dublin,1
SFR,107,dublin,1
LDR,108,dublin,1
SFR,109,dublin,1
LDR,110,dublin,1
SFR,111,dublin,1
NP,112,dublin,0
SFR,113,dublin,1
LDR,114,dublin,1
SFR,115,dublin,1
SFR,116,dublin,1
SFR,117,dublin,1
LDR,118,dublin,1
NP,119,dublin,0
MDR,120,dublin,2
MDR,121,dublin,2
SFR,122,dublin,1
LDR,123,dublin,1
MDR,124,dublin,2
MDR,125,dublin,2
ES,126,dublin,0
LDR,127,dublin,1
RO,128,dublin,0
MDR,129,dublin,2
MDR,130,dublin,2
LDR,131,dublin,1
LDR,132,dublin,1
ES,133,dublin,0
MDR,134,dublin,2
SFR,135,dublin,1
MDR,136,dublin,2
SFR,137,dublin,1
LDR,138,dublin,1
LDR,139,dublin,1
SFR,140,dublin,1
SFR,141,dublin,1
MDR,142,dublin,2
OS,143,dublin,0
LDR,144,dublin,1
SFR,145,dublin,1
SC,146,dublin,0
LDR,147,dublin,1
SFR,148,dublin,1
SFR,149,dublin,1
MDR,150,dublin,2
SFR,151,dublin,1
LDR,152,dublin,1
SFR,153,dublin,1
OS,154,dublin,0
SFR,155,dublin,1
SFR,156,dublin,1
LDR,157,dublin,1
LDR,158,dublin,1
LDR,159,dublin,1
SFR,160,dublin,1
LDR,161,dublin,1
LDR,162,dublin,1
LDR,163,dublin,1
LDR,164,dublin,1
PSP,165,dublin,0
SFR,166,dublin,1
SFR,167,dublin,1
LDR,168,dublin,1
LDR,169,dublin,1
LDR,170,dublin,1
PSP,171,dublin,0
LDR,172,dublin,1
SFR,173,dublin,1
SFR,174,dublin,1
SFR,175,dublin,1
LDR,176,dublin,1
SC,177,dublin,0
CP,178,dublin,0
SFR,179,dublin,1
PL,180,dublin,0
SFR,181,dublin,1
SFR,182,dublin,1
PSP,183,dublin,0
SFR,184,dublin,1
SC,185,dublin,0
SC,186,dublin,0
EMHDR,187,dublin,2
