GlobalID,FeatureID,ZoningDist,ZoningCate,ZoningDesc,ZoningSubA,IsPreZoned,HasTransfe,PlanningNo,CreateDate,RevDate,RevBy,RevComment,Shape_STAr,Shape_STLe,Zoning
{61A188DB-1E1C-41D6-8D24-BDA51A660A21},50,RG-10,RG,Residential,NA,No,No,NA,NA,NA,NA,NA,163933.620117,1711.6460615,2
{818FD4F5-ADD8-4169-8FCC-3E8CD35654E7},51,RG-16,RG,Residential,NA,No,No,NA,NA,NA,NA,NA,79601.0898438,1237.8329825,2
{C7E77E25-B255-4089-9FA5-7BBA7E1A728C},52,RG-16,RG,Residential,NA,No,No,NA,NA,NA,NA,NA,777738.420898,4034.09702692,2
{C23D37E6-EBCA-4432-BE39-B54AD68EAEB6},53,RG-16,RG,Residential,NA,No,No,NA,NA,NA,NA,NA,180182.095703,2079.31761665,2
{389E7643-0CAE-45EE-A828-2BB3E968A681},54,RG-12,RG,Residential,NA,No,No,NA,NA,NA,NA,NA,266591.339844,2252.26920971,2
{C9A6CF22-220F-45A0-B4B7-30914107B5BA},55,RG-10,RG,Residential,NA,No,No,NA,NA,NA,NA,NA,94371.3066406,1215.73274959,2
{B31AB02F-01A9-452C-99F2-0E5A91FFFD91},56,RG-16,RG,Residential,NA,No,No,NA,NA,NA,NA,NA,572460.935547,4096.363308,2
{04F9C7D9-99A4-4093-81B0-AA38433C8B9B},58,E,E,Public And Quasi-public,NA,No,No,NA,NA,2012-07-13,NA,NA,1648546.10352,5141.87861337,NA
{33A3B604-0F38-4C16-BCE3-CC75E11E2A34},59,RG-16,RG,Residential,NA,No,No,NA,NA,NA,NA,NA,225502.007813,2307.05475726,2
{EC217D89-70EC-4EC2-9EAE-B3558AB4E346},60,RG-16,RG,Residential,NA,No,No,NA,NA,2017-05-25,NA,NA,885111.135742,7183.9028247,2
{9BE00F52-53B2-4A0A-8959-83AB7B0E841A},61,RR-1,RR,Residential,NA,No,No,NA,NA,2014-04-03,NA,NA,359445.318359,2442.49972678,1
{C66F76E7-3783-48EA-9262-DA38178D17EA},62,RR-1,RR,Residential,NA,No,No,NA,NA,2014-04-03,NA,NA,386860.537109,2506.25501064,1
{5D9987F0-C5FB-4FC2-A0B4-BE20F84817B7},63,T4N-HP-H,T4N,Mixed Use,NA,No,No,NA,NA,NA,NA,NA,13499.9785156,479.999713171,2
{4A22D407-4D1C-4064-A289-D188FBC5669F},64,PDI-00-181,PDI,Planned Development,NA,No,No,NA,NA,NA,NA,NA,14863098.6758,32308.0769115,NA
{548D776C-9074-4D9D-93A4-4FBA8CBB123A},65,OS-A,OS-A,Open Space,NA,No,No,NA,NA,NA,NA,NA,349027.429688,2663.3830927,NA
{F7C39F5C-EF4A-4F4F-8B93-D00D90124077},66,CS,CS,Commercial,NA,No,No,NA,NA,NA,NA,NA,817388.995117,3666.94849482,NA
{1B83551A-68FC-4AB8-BCBA-10ABD8ECCA11},67,CS,CS,Commercial,NA,No,No,NA,NA,2012-07-12,NA,NA,6372010.09082,20083.2277174,NA
{A13446B6-BA60-4C3E-ACFC-B94152AA8EAF},68,PDI-00-185,PDI,Planned Development,NA,No,No,NA,NA,NA,NA,NA,563418.149414,3914.23719467,NA
{3873ADCA-65CB-41F7-A7B9-95412848EED6},69,CS,CS,Commercial,NA,No,No,NA,NA,NA,NA,NA,524372.011719,3452.200783,NA
{7536F27F-E747-407F-9712-86674142B80D},70,PDR-00-174,PDR,Planned Development,NA,No,No,NA,NA,NA,NA,NA,333919.101563,2333.65463899,1
{CC4D81B8-1609-4BE0-B495-0AA278E7C033},71,PD-ECSP-OS,PD-ECSP-OS,Planned Development,NA,No,No,NA,NA,2014-09-18,NA,NA,4228824.77344,10229.9973539,NA
{0C798571-DDB5-4C16-8453-6AC72C4D3A28},72,PD-ECSP-RC,PD-ECSP-RC,Planned Development,NA,No,No,NA,NA,2013-07-12,NA,NA,6360537.07617,13669.9626536,NA
{70E6C948-8053-4770-B20A-2BDBBBEBBF24},73,PD-ECSP-HRC,PD-ECSP-HRC,Planned Development,NA,No,No,NA,NA,2013-07-12,NA,NA,565388.873047,3151.23398092,NA
{C6803DBC-43B9-49D0-AC40-0663AD8DFA91},74,RG-16,RG,Residential,NA,No,No,NA,NA,NA,NA,NA,201619.65625,1839.21443559,2
{AC2AADB0-0CBF-45BE-B3BD-1BB95BAEF3E1},75,OS-A,OS-A,Open Space,NA,No,No,NA,NA,NA,NA,NA,227998.919922,1939.99456914,NA
{46623F12-FBDC-4CD3-96C7-E0C87E0D9AA5},76,E,E,Public And Quasi-public,NA,No,No,NA,NA,NA,NA,NA,437946.188477,2621.27309879,NA
{43FF6F17-57A2-4A88-91FB-F5984A977E1F},77,RG-10,RG,Residential,NA,No,No,NA,NA,NA,NA,NA,453213.435547,3015.60833042,2
{4C632F9E-9294-4DE9-A03E-8B829E833686},78,PUDA 02-005,PD-SLVSP,Planned Development,Subarea #1,No,No,NA,NA,2012-01-19,NA,NA,3083783.80957,10843.7686154,1
{B8C9E5BF-1F9D-4859-9044-D7E422C4C3A7},79,PUD 152,PD-SLVSP,Planned Development,Subarea #2,No,No,NA,NA,2011-01-06,NA,NA,1497681.11621,14376.206052,NA
{B388A07E-6FD2-4B69-93DC-249237FCBA00},80,PUDA 02-007,PD-SLVSP,Planned Development,Subarea #3,No,No,NA,NA,2014-09-18,NA,NA,3852499.0752,10560.4959197,1
{08C451AC-0871-4291-95EB-B2DF90F3A623},81,PUDA 07-003,PD-SLVSP,Planned Development,Subarea #4,No,No,NA,NA,2011-01-06,NA,NA,4466598.85547,8734.15078132,1
{A079AD4F-3A46-4F1B-8C25-1E4B9C0EEB8C},82,PUDA 01-001,PD-SLVSP,Planned Development,Subarea #5,No,No,NA,NA,2011-01-06,NA,NA,3631578.36914,7685.83633463,1
{47E51932-BF6A-417F-A55F-E2B42A6001A5},83,PD-SLVSP,PD-SLVSP,Planned Development,Subarea #7,No,No,NA,NA,2011-01-06,NA,NA,5409504.87109,10512.9826825,NA
{7F4883D0-521E-42B8-96E7-C6A32749945F},84,SLV-AG,SLV-AG,Open Space,NA,No,No,NA,NA,NA,NA,NA,349369.99707,3183.94925754,NA
{2CD5B965-3238-4FD8-90CF-31EA7D434BD1},85,RS-HP-H,RS,Residential,NA,No,No,NA,NA,2012-08-15,NA,NA,406642.054688,2775.56742383,1
{7C34ED39-C097-4793-8303-AC82C8E0D095},86,RS-HP-H,RS,Residential,NA,No,No,NA,NA,2012-08-15,NA,NA,223970.011719,2022.00056597,NA
{87C4A948-D676-4E4B-9BE9-E945C63EBFB6},87,RS,RS,Residential,NA,No,No,NA,NA,NA,NA,NA,1350105.32617,6896.80851032,1
{D08E0A38-9BB0-4652-AB8C-E7ACE6463581},88,RS,RS,Residential,NA,No,No,NA,NA,NA,NA,NA,370053.852539,2436.03959043,1
{BCB33A71-ECE7-47D9-BB26-038F76128897},89,RS,RS,Residential,NA,No,No,NA,NA,NA,NA,NA,3894784.91504,12402.0355843,1
{5ACA338F-6D25-4897-B024-10FEF0E58C0D},90,RS,RS,Residential,NA,No,No,NA,NA,NA,NA,NA,4008444.62891,11578.4450456,1
{7D1BFFFE-AF29-4070-8530-6EEC3B12F5D7},91,RS,RS,Residential,NA,No,No,NA,NA,NA,NA,NA,20300347.5791,31505.6315474,1
{A5090090-949E-4632-839A-1283D8C8BFFB},92,RL,RL,Residential,NA,No,No,NA,NA,NA,NA,NA,1568404.97559,7088.99356956,1
{724FD088-DAE2-4C7A-A512-0D1F8E2220D2},93,E,E,Public And Quasi-public,NA,No,No,NA,NA,NA,NA,NA,2083117.68066,9805.19066511,NA
{4489E54A-D163-4C18-9577-5F81A94CDE6C},94,RL,RL,Residential,NA,No,No,NA,NA,NA,NA,NA,4037667.86621,11497.5558735,1
{A3A0261C-7FBF-4444-A4FE-FEB241A82BC3},95,RL,RL,Residential,NA,No,No,NA,NA,NA,NA,NA,3092876.18848,10300.7309827,1
{FAC133D5-C9B2-4036-B4AA-FAADFF97373B},96,RL,RL,Residential,NA,No,No,NA,NA,NA,NA,NA,841160.580078,4914.41620439,1
{CF9E3B31-D76A-407D-AF0D-020850891D21},97,PDR-00-160,PDR,Planned Development,NA,No,No,NA,NA,2012-03-29,NA,NA,435748.477539,2860.70560329,1
{8B258668-6D53-40D6-90F2-1846ABDD9175},98,PDR-01-007,PDR,Planned Development,NA,No,No,NA,NA,NA,NA,NA,217063.30957,2419.15235963,1
{89899F0E-3F2C-4A20-B14D-C41F2EDD9316},99,PDR-02-008,PDR,Planned Development,NA,No,No,NA,NA,2012-08-15,NA,NA,215333.057617,2397.53156039,1
{F3D39A59-B6CC-42BE-A5EA-ABFB600C41F4},100,PDR-02-001,PDR,Planned Development,NA,No,No,NA,NA,NA,NA,NA,376673.041016,2811.15098127,2
{65C1D809-E741-417C-9EDA-5B2DE19A92F3},101,PDR-02-005,PDR,Planned Development,NA,No,No,NA,NA,NA,NA,NA,95731.9248047,1350.00705201,1
{8EEC4F6E-6478-4BB1-9CD4-4BC0CF9D12E1},102,PDR-03-004,PDR,Planned Development,NA,No,No,NA,NA,NA,NA,NA,46351.5771484,1081.53347544,1
{C353F6EB-10CA-4A2F-876E-C5613C38F101},103,PDR-00-167,PDR,Planned Development,NA,No,No,NA,NA,NA,NA,NA,201993.583984,2327.98863019,1
{676010E9-BB99-4A0C-8BAC-DA4695D99532},104,PDR-00-177,PDR,Planned Development,NA,No,No,NA,NA,NA,NA,NA,353343.634766,2535.81365571,1
{B6FEB708-0F6F-4756-8F15-DFFEEBD6C77B},105,PDR-01-006,PDR,Planned Development,NA,No,No,NA,NA,NA,NA,NA,7142617.60254,12452.8035027,1
{3A80166E-085E-44DA-B664-CCCF1AE0E779},106,PDR-02-004,PDR,Planned Development,NA,No,No,NA,NA,NA,NA,NA,182531.964844,2115.22209733,2
{6DDC7D2E-BB5D-49E6-8C94-AA4F63D5F619},107,PDR-00-169,PDR,Planned Development,NA,No,No,NA,NA,NA,NA,NA,119380.817383,1384.25309476,1
{17606441-DC2A-44D4-9EA9-0A61B0BCE50D},108,PDR-00-161,PDR,Planned Development,NA,No,No,NA,NA,NA,NA,NA,318190.005859,2458.10292047,1
{7488C9E7-AB2D-4F30-A1D0-F9049E6493AB},109,PDR-02-009,PDR,Planned Development,NA,No,Yes,Adopted City Council Ordinance No 1980 Date September 23 2013,NA,2014-04-03,NA,NA,995099.734375,5845.37676729,1
{0DF1C260-EE63-4852-909B-88BE09BE712D},110,PDR-05-004,PDR,Planned Development,NA,No,Yes,NA,NA,2014-04-09,NA,NA,274892.292969,3255.26445987,2
{21D368F6-C45D-405F-9668-6C99B2B26E60},111,PDR-00-168,PDR,Planned Development,NA,No,No,NA,NA,NA,NA,NA,340602.802734,2391.73668508,1
{3C42E1E5-F2C4-4A5C-B4CD-3003619DE1E8},112,PDR 05-002,PDR,Planned Development,NA,No,No,NA,NA,2017-05-25,NA,NA,59073.8232422,1052.89977866,1
{2AB6EC87-6AE3-4AD4-A1D0-4B5E1879BDD3},113,PDR-05-006,PDR,Planned Development,NA,No,No,NA,NA,NA,NA,NA,121533.666016,1792.17551446,NA
{7ACAA48A-0BB3-43DA-9DC2-A951321AFA81},114,PDR-00-183,PDR,Planned Development,NA,No,No,NA,NA,NA,NA,NA,125856.530273,1821.60851278,1
