OBJECTID,BASEZONING,DISTRICT,DENSITY,Shape_Leng,Shape_Area,Zoning
228,AR B6 2,AR,2,14483.248193,6440060.9216,NA
229,AR B6 2,AR,2,3288.20426538,646634.605534,NA
230,AR B6 2,AR,2,3168.90277609,456094.606742,NA
231,AR B6 2,AR,2,19655.9463957,10962317.7499,NA
232,AR B6 2,AR,2,5062.90766657,1330586.74772,NA
233,AR B6 2,AR,2,18648.3800529,7757234.81686,NA
234,AR B6 2,AR,2,3147.39433479,490989.226531,NA
235,AR B6 2,AR,2,14725.0783609,9492601.25823,NA
236,AR B6 2,AR,2,15706.4582873,8059846.54731,NA
237,AR B6 2,AR,2,18553.2539428,9395388.51055,NA
238,AR B6 2,AR,2,2781.21165894,371008.306316,NA
239,AR B6 2,AR,2,23053.5803814,11816533.8624,NA
240,AR B6 2,AR,2,12841.8526933,3411534.77574,NA
241,AR B6 2,AR,2,4376.64731121,964566.749698,NA
242,AR B6 2,AR,2,6253.64732174,1141496.7787,NA
243,AR B6 2,AR,2,3580.35657631,645290.798923,NA
244,AR B6 2,AR,2,1803.3804593,202727.418815,NA
245,AR B6 2,AR,2,2050.44069161,138230.115633,NA
246,AR B6 2,AR,2,4383.40238649,999689.135568,NA
247,AR B6 2,AR,2,3994.36671338,872049.905345,NA
248,AR B6 2,AR,2,3056.98200208,188063.483188,NA
249,AR B6 2,AR,2,4029.37329914,704140.578629,NA
250,AR B6 2,AR,2,4137.11850154,868808.021382,NA
251,AR B6 2,AR,2,9200.18789092,3776497.64388,NA
252,AR B6 2,AR,2,3652.00972066,735212.116147,NA
253,AR B6 2,AR,2,9527.91974325,3625960.18353,NA
254,AR B6 2,AR,2,8679.4483611,1569654.491,NA
255,AR B6 2,AR,2,7200.32940805,3133447.5540300002,NA
256,AR B6 2,AR,2,6825.2468675,1286894.20141,NA
257,AR B6 2,AR,2,4438.92308016,935587.002846,NA
258,AR B6 2,AR,2,1791.25893992,122959.596094,NA
259,AR B6 2,AR,2,450.919635597,11878.4174227,NA
260,AR B6 2,AR,2,383.58944087,9040.95055178,NA
261,AR B6 2,AR,2,3063.46905336,365220.995096,NA
262,AR B6 2,AR,2,1745.79046595,171711.961822,NA
263,AR B6 2,AR,2,1741.01123427,120993.723059,NA
264,AR B6 2,AR,2,873.354380364,45571.8518712,NA
265,AR B6 2,AR,2,863.956220679,44053.1225211,NA
266,AR B6 2,AR,2,1720.00111519,94596.3428628,NA
267,AR B6 2,AR,2,2262.37296104,30519.2438794,NA
268,AR B6 2,AR,2,3573.39214453,676525.764017,NA
269,AR B6 2,AR,2,1761.1766677,154777.806548,NA
270,AR B6 2,AR,2,902.592074029,47686.0955875,NA
271,AR B6 2,AR,2,1298.87624124,101132.34796,NA
