APN,LevelNm,GP,gnrl_p_,ASMT,Shp_Lng,Shap_Ar,Acres,id,edt_g__,zoning
163-080-032,1,VLDR,SR,163080032,314.882675993,6021.51940638,0.13823506443,2409,SR,1
164-450-070,1,LDR,PD_VntgGrn,164450070,276.124921031,4403.94289054,0.10110061732,2410,PD_VntgGrn,1
162-031-038,1,VLDR,SR,162031038,328.76152532,6199.21197862,0.14231432458,2411,SR,1
161-130-005,1,ER,ER,161130005,233.748642674,2413.15364866,0.05539838496,2412,ER,1
161-130-004,1,ER,ER,161130004,276.264249307,2515.40456205,0.05774574293,2413,ER,1
161-190-024,1,VLDR,SR,161190024,319.928061996,6001.59335708,0.13777762528,2414,SR,1
164-450-082,1,LDR,PD_VntgGrn,164450082,276.13044548,4404.08224179,0.10110381639,2415,PD_VntgGrn,1
163-190-062,1,ER,PD,163190062,646.886225507,27028.5200036,0.62048943994,2416,PD,1
164-280-012,1,LDR,VR,164280012,282.590680801,4561.14681759,0.1047095229,2417,VR,1
161-372-022,1,VLDR,SR,161372022,305.833482285,5133.04014785,0.11783838723,2418,SR,1
162-240-064,1,VLDR,SR,162240064,234.17617341,1070.07998538,0.02456565623,2419,SR,1
163-250-029,1,VLDR,SR,163250029,318.433151764,5941.47860931,0.13639758056,2420,SR,1
164-450-072,1,LDR,PD_VntgGrn,164450072,276.139778623,4404.42311627,0.10111164179,2421,PD_VntgGrn,1
163-210-027,1,ER,PD,163210027,447.367784049,10781.0471609,0.24749878698,2422,PD,1
163-220-081,1,VLDR,SR,163220081,235.663628433,792.569346208,0.01819488857,2423,SR,1
163-120-013,1,VLDR,SR,163120013,384.468456364,7992.14646404,0.18347443673,2424,SR,1
161-190-021,1,VLDR,SR,161190021,319.316908366,5974.74719903,0.13716132229,2425,SR,1
164-450-016,1,LDR,PD_VntgGrn,164450016,276.155474768,4404.80239534,0.10112034884,2426,PD_VntgGrn,1
164-450-091,1,LDR,PD_VntgGrn,164450091,276.13493713,4404.19695658,0.10110644988,2427,PD_VntgGrn,1
161-450-027,1,VLDR,SR,161450027,529.083919624,17483.7718762,0.40137217346,2428,SR,1
