DATA,DATA_TY,Shp_Lng,Shap_Ar,gnrl_p_,id,edt_g__,zoningd,zoning
A,Agriculture,1190.7211232,82222.4084808,Agriculture,1,Agriculture,1,0
A,Agriculture,534.248908594,11088.641348,Agriculture,2,Agriculture,1,0
HPD,Hillside Planned Development,7194.2584711,2152705.01153,Hillside Planned Development,3,Hillside Planned Development,3,1
P,Public & Institutional,20171.261723,9523131.70871,Public & Institutional,4,Public & Institutional,4,0
PUD-A/OS/LDR,Agriculture/Open Space/Low Density Residential-PUD,34767.5745857,50643786.3471,Agriculture/Open Space/Low Density Residential-PUD_SingleFam,5,Agriculture/Open Space/Low Density Residential-PUD_SingleFam,993,1
PUD-C,Commercial-PUD,555.153394543,19796.016631900002,Commercial-PUD,6,Commercial-PUD,6,0
PUD-C,Commercial-PUD,1433.24549254,102177.339109,Commercial-PUD,7,Commercial-PUD,6,0
PUD-C,Commercial-PUD,1945.15788465,174996.166391,Commercial-PUD,8,Commercial-PUD,6,0
PUD-C,Commercial-PUD,1161.78961948,87096.3136898,Commercial-PUD,9,Commercial-PUD,6,0
PUD-C-N,Commercial Neighborhood-PUD,2408.05708842,220938.692799,Commercial Neighborhood-PUD,10,Commercial Neighborhood-PUD,10,0
PUD-C-O,Planned Unit Development - Commercial-Office,1849.72891222,169643.985851,Planned Unit Development - Commercial-Office,11,Planned Unit Development - Commercial-Office,11,0
PUD-O/HDR,Office/High Density Residential-PUD,2150.34153609,141623.945617,Office/High Density Residential-PUD_NonRes,12,Office/High Density Residential-PUD_NonRes,987,0
PUD-ELEMENTARY SCHOOL,Elementary School-PUD,3060.5545105,499170.339007,Elementary School-PUD,13,Elementary School-PUD,13,0
PUD-HDR,Planned Unit Development - High Density Residential,2273.4230369,201928.216282,Planned Unit Development - High Density Residential,14,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,1699.41318305,112128.546437,Planned Unit Development - High Density Residential,15,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,1373.06460019,111681.068642,Planned Unit Development - High Density Residential,16,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,3495.49635574,647856.836139,Planned Unit Development - High Density Residential,17,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,1627.28277774,109646.673836,Planned Unit Development - High Density Residential,18,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,5164.22826771,1152140.25898,Planned Unit Development - High Density Residential,19,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,6663.235147,2299750.3975,Planned Unit Development - High Density Residential,20,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,1539.96508113,128999.297314,Planned Unit Development - High Density Residential,21,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,559.969889483,11969.5492647,Planned Unit Development - High Density Residential,22,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,824.842625257,42320.1554061,Planned Unit Development - High Density Residential,23,Planned Unit Development - High Density Residential,14,2
PUD-HDR-MDR,High Density Residential & Medium Density Residential-PUD,5493.32450026,752200.696057,High Density Residential & Medium Density_SingleFamily,24,High Density Residential & Medium Density_SingleFamily,24,1
PUD-I/C-O,Planned Unit Development - Industrial/Commercial-Offices,6634.22288312,900262.766564,Planned Unit Development - Industrial/Commercial-Offices,25,Planned Unit Development - Industrial/Commercial-Offices,25,0
PUD-I/C-O,Planned Unit Development - Industrial/Commercial-Offices,7381.04376895,2612114.00454,Planned Unit Development - Industrial/Commercial-Offices,26,Planned Unit Development - Industrial/Commercial-Offices,25,0
PUD-I/C-O,Planned Unit Development - Industrial/Commercial-Offices,5942.31236489,1430037.21219,Planned Unit Development - Industrial/Commercial-Offices,27,Planned Unit Development - Industrial/Commercial-Offices,25,0
PUD-LDR,Low Density Residential,2863.37267918,405463.507907,Low Density Residential,28,Low Density Residential,29,1
PUD-LDR,Low Density Residential,12287.707052,6531514.59339,Low Density Residential,29,Low Density Residential,29,1
PUD-LDR,Low Density Residential,1959.12955259,205704.143408,Low Density Residential,30,Low Density Residential,29,1
PUD-LDR,Low Density Residential,1453.6255371,124759.946168,Low Density Residential,31,Low Density Residential,29,1
PUD-LDR,Low Density Residential,1310.69664397,81053.7228525,Low Density Residential,32,Low Density Residential,29,1
PUD-LDR,Low Density Residential,3798.08185485,879202.050895,Low Density Residential,33,Low Density Residential,29,1
PUD-LDR,Low Density Residential,1558.19487547,83787.1043855,Low Density Residential,34,Low Density Residential,29,1
PUD-LDR,Low Density Residential,5793.83472665,1834017.74252,Low Density Residential,35,Low Density Residential,29,1
PUD-LDR/C/PHS/WO,Low Density Residential/Commercial/Public Health & Safety/Wildlands Overlay-PUD,9430.07850837,2672639.22352,Low Density Residential/Commercial_NonRes,36,Low Density Residential/Commercial_NonRes,37,0
PUD-LDR/MDR,Low Density Residential/Medium Density Residential-PUD,5067.73234052,1020397.28192,Low Density Residential/Medium Density Residential_SingleFam,37,Low Density Residential/Medium Density Residential_SingleFam,662,1
PUD-LDR/RDR/PHS,Low Density Residential/Rural Density Residential/Public Health & Safety-PUD,1310.40132097,86804.8006884,Low Density Residential/Rural Density Residential_SingleFam,38,Low Density Residential/Rural Density Residential_SingleFam,39,1
PUD-MDR,Planned Unit Development - Medium Density Residential,6065.70168035,1925342.95969,Planned Unit Development - Medium Density Residential,39,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,1647.98010981,80535.1210102,Planned Unit Development - Medium Density Residential,40,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,2027.42975765,224399.66926,Planned Unit Development - Medium Density Residential,41,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,941.665568253,51419.4779966,Planned Unit Development - Medium Density Residential,42,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,2886.73708684,405599.33934,Planned Unit Development - Medium Density Residential,43,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,771.348318035,36447.8411639,Planned Unit Development - Medium Density Residential,44,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,894.265591024,49934.4804074,Planned Unit Development - Medium Density Residential,45,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,2569.30829475,400587.701222,Planned Unit Development - Medium Density Residential,46,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,2883.48493007,546727.034674,Planned Unit Development - Medium Density Residential,47,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR/OS,Medium Density Residential/Open Space-PUD,2305.77656534,313218.319934,Medium Density Residential/Open Space-PUD_SingleFam,48,Medium Density Residential/Open Space-PUD_SingleFam,49,1
PUD-O/C-C,Commercial Office / Commercial Central-PUD,3323.12079864,362880.744259,Commercial Office / Commercial Central-PUD,49,Commercial Office / Commercial Central-PUD,50,0
PUD-P,Public & Institutional-PUD,4568.75811528,1209666.71099,Public & Institutional-PUD,50,Public & Institutional-PUD,51,0
PUD-P,Public & Institutional-PUD,4509.13688504,229586.345495,Public & Institutional-PUD,51,Public & Institutional-PUD,51,0
PUD-RM-25,Multiple Family Residential-PUD,2563.27142294,369459.93595,Multiple Family Residential-PUD,52,Multiple Family Residential-PUD,53,2
PUD-SRR,Semi-Rural Residential-PUD,3379.72256602,686619.081285,Semi-Rural Residential-PUD,53,Semi-Rural Residential-PUD,54,1
R-1-75,Single Family Residential,11789.12889,2592893.20804,Single Family Residential,54,Single Family Residential,55,1
R-1-85,Single Family Residential,613.143984487,17940.3883268,Single Family Residential,55,Single Family Residential,55,1
P,Public & Institutional,2135.01923654,78663.4773288,Public & Institutional,56,Public & Institutional,4,0
A,Agriculture,1148.27280144,68196.0245403,Agriculture,57,Agriculture,1,0
A,Agriculture,12739.4861776,575638.500483,Agriculture,58,Agriculture,1,0
A,Agriculture,4438.49089636,748154.329571,Agriculture,59,Agriculture,1,0
A,Agriculture,3645.52616237,619973.750977,Agriculture,60,Agriculture,1,0
A,Agriculture,3965.62684373,654011.062688,Agriculture,61,Agriculture,1,0
PUD-A-OS,Planned Unit Development - Agriculture and Open Space,3532.97386531,502781.436401,Planned Unit Development - Agriculture and Open Space,62,Planned Unit Development - Agriculture and Open Space,63,0
A,Agriculture,6030.3044128,692119.856592,Agriculture,63,Agriculture,1,0
C-C,Commercial Central,591.177799344,13420.0639269,Commercial Central,64,Commercial Central,65,0
A,Agriculture,4988.34776897,1262073.21314,Agriculture,65,Agriculture,1,0
A,Agriculture,7691.31745288,2068435.83647,Agriculture,66,Agriculture,1,0
A,Agriculture,11398.4516927,4311119.88502,Agriculture,67,Agriculture,1,0
A,Agriculture,3107.13499517,544062.413124,Agriculture,68,Agriculture,1,0
A,Agriculture,3300.00295889,524304.90502,Agriculture,69,Agriculture,1,0
A,Agriculture,3528.55651758,522717.955207,Agriculture,70,Agriculture,1,0
A,Agriculture,2578.79003109,435029.053328,Agriculture,71,Agriculture,1,0
PUD-HDR,Planned Unit Development - High Density Residential,3682.95176197,554299.30926,Planned Unit Development - High Density Residential,72,Planned Unit Development - High Density Residential,14,2
A,Agriculture,2232.57706089,302523.716937,Agriculture,73,Agriculture,1,0
A,Agriculture,2297.18662761,299823.108405,Agriculture,74,Agriculture,1,0
A,Agriculture,1865.9579871399999,213390.196645,Agriculture,75,Agriculture,1,0
A,Agriculture,748.288261555,26050.570618,Agriculture,76,Agriculture,1,0
A,Agriculture,870.659678854,33087.7079583,Agriculture,77,Agriculture,1,0
A,Agriculture,1100.4269554,43716.3936338,Agriculture,78,Agriculture,1,0
A,Agriculture,2116.12952356,167292.20103,Agriculture,79,Agriculture,1,0
A,Agriculture,1806.09270339,120851.597192,Agriculture,80,Agriculture,1,0
PUD-LDR,Low Density Residential,1349.47302398,118394.170443,Low Density Residential,81,Low Density Residential,29,1
A,Agriculture,1399.01232649,117317.806916,Agriculture,82,Agriculture,1,0
C-C,Commercial Central,647.889678007,10448.9343899,Commercial Central,83,Commercial Central,65,0
C-C,Commercial Central,1343.53538842,104638.166755,Commercial Central,84,Commercial Central,65,0
C-C,Commercial Central,1037.06629763,58863.6167146,Commercial Central,85,Commercial Central,65,0
C-C,Commercial Central,1163.69171491,48341.851394,Commercial Central,86,Commercial Central,65,0
C-C,Commercial Central,849.69208458,35586.5230085,Commercial Central,87,Commercial Central,65,0
C-C,Commercial Central,689.180300809,26930.9263407,Commercial Central,88,Commercial Central,65,0
C-C,Commercial Central,544.717542415,16966.7799672,Commercial Central,89,Commercial Central,65,0
C-F,Commercial Freeway,4918.69931166,1217725.12034,Commercial Freeway,90,Commercial Freeway,93,0
C-F,Commercial Freeway,2075.80877406,221154.526915,Commercial Freeway,91,Commercial Freeway,93,0
C-F,Commercial Freeway,1273.41007323,100070.660586,Commercial Freeway,92,Commercial Freeway,93,0
PUD-MDR/OS/PH&S/WO,Medium Density Residential/Open Space/PublicHealth&Safety/Wildland Overlay-PUD,1307.2391393,82881.4068424,Medium Density Residential/Open Space/_SingleFam,93,Medium Density Residential/Open Space/_SingleFam,96,1
C-F,Commercial Freeway,851.589706426,41780.462181,Commercial Freeway,94,Commercial Freeway,93,0
C-F,Commercial Freeway,806.324498981,28478.7355724,Commercial Freeway,95,Commercial Freeway,93,0
C-F,Commercial Freeway,641.709583997,24570.9398418,Commercial Freeway,96,Commercial Freeway,93,0
C-F,Commercial Freeway,556.376329151,20765.2841674,Commercial Freeway,97,Commercial Freeway,93,0
C-C,Commercial Central,447.457685901,11466.1479963,Commercial Central,98,Commercial Central,65,0
C-N,Commercial Neighborhood,2844.59368008,499789.754017,Commercial Neighborhood,99,Commercial Neighborhood,102,0
C-N,Commercial Neighborhood,2038.66567569,261218.020657,Commercial Neighborhood,100,Commercial Neighborhood,102,0
C-N,Commercial Neighborhood,2455.94121562,338461.179561,Commercial Neighborhood,101,Commercial Neighborhood,102,0
C-N,Commercial Neighborhood,2496.83856531,330508.516905,Commercial Neighborhood,102,Commercial Neighborhood,102,0
PUD-C,Commercial-PUD,720.056061345,34814.9081443,Commercial-PUD,103,Commercial-PUD,6,0
C-C,Commercial Central,1072.19334695,34289.5596584,Commercial Central,104,Commercial Central,65,0
C-C,Commercial Central,732.621297051,21853.7948512,Commercial Central,105,Commercial Central,65,0
C-S,Commercial Service,2821.99526391,398391.824842,Commercial Service,106,Commercial Service,109,0
C-S,Commercial Service,579.849934734,17504.7733621,Commercial Service,107,Commercial Service,109,0
U,Unincorporated,7540.55691854,2017736.15093,Unincorporated,108,Unincorporated,112,3
I-G-40,General Industrial,6177.47263133,1230141.07319,General Industrial,109,General Industrial,114,0
I-G-40,General Industrial,6603.07786984,2406487.06618,General Industrial,110,General Industrial,114,0
I-P,Industrial Park,3635.55800771,312545.604526,Industrial Park,111,Industrial Park,116,0
I-P,Industrial Park,5798.96850189,1517366.51695,Industrial Park,112,Industrial Park,116,0
I-P,Industrial Park,3457.94148368,158547.370377,Industrial Park,113,Industrial Park,116,0
O,Office Commercial,2549.13420258,214209.028243,Office Commercial,114,Office Commercial,119,0
O,Office Commercial,2141.83586624,213445.607801,Office Commercial,115,Office Commercial,119,0
O,Office Commercial,1809.7472836,121807.113496,Office Commercial,116,Office Commercial,119,0
O,Office Commercial,1357.21192201,80127.1570327,Office Commercial,117,Office Commercial,119,0
O,Office Commercial,1110.07045153,66609.8413213,Office Commercial,118,Office Commercial,119,0
O,Office Commercial,1133.54318677,56526.0603464,Office Commercial,119,Office Commercial,119,0
O,Office Commercial,965.419253049,52778.9858445,Office Commercial,120,Office Commercial,119,0
PUD-O,Planned Unit Development - Office,1126.96065924,42253.2907423,Planned Unit Development - Office,121,Planned Unit Development - Office,126,0
O,Office Commercial,862.485357554,43887.5600487,Office Commercial,122,Office Commercial,119,0
MU-T,Mixed Use Transitional,713.141713629,25168.1675527,Mixed Use Transitional,123,Mixed Use Transitional,128,0
PUD-O,Planned Unit Development - Office,821.155402225,28368.5878939,Planned Unit Development - Office,124,Planned Unit Development - Office,126,0
MU-T,Mixed Use Transitional,471.144740455,10727.5382034,Mixed Use Transitional,125,Mixed Use Transitional,128,0
O,Office Commercial,423.467371975,11425.0677749,Office Commercial,126,Office Commercial,119,0
C-C,Commercial Central,374.529946345,8456.10396977,Commercial Central,127,Commercial Central,65,0
O,Office Commercial,2486.47758765,240132.386724,Office Commercial,128,Office Commercial,119,0
MU-D,Mixed Used Downtown,1840.05766962,137243.965345,Mixed Used Downtown,129,Mixed Used Downtown,698,0
P,Public & Institutional,4798.17197384,1107889.88756,Public & Institutional,130,Public & Institutional,4,0
P,Public & Institutional,4685.61367554,1022428.24935,Public & Institutional,131,Public & Institutional,4,0
P,Public & Institutional,4276.80561119,824556.500131,Public & Institutional,132,Public & Institutional,4,0
P,Public & Institutional,3454.86075741,734425.455574,Public & Institutional,133,Public & Institutional,4,0
MU-D,Mixed Used Downtown,1874.32171091,170106.341336,Mixed Used Downtown,134,Mixed Used Downtown,698,0
P,Public & Institutional,2440.84150829,244014.275386,Public & Institutional,135,Public & Institutional,4,0
P,Public & Institutional,1873.94943025,188841.606643,Public & Institutional,136,Public & Institutional,4,0
P,Public & Institutional,1667.57386167,174691.570429,Public & Institutional,137,Public & Institutional,4,0
P,Public & Institutional,1934.56731452,160009.322134,Public & Institutional,138,Public & Institutional,4,0
P,Public & Institutional,1855.00924167,154116.245287,Public & Institutional,139,Public & Institutional,4,0
P,Public & Institutional,1637.99088255,148721.944261,Public & Institutional,140,Public & Institutional,4,0
P,Public & Institutional,1807.90670834,114349.378595,Public & Institutional,141,Public & Institutional,4,0
P,Public & Institutional,1519.87906832,85812.9786526,Public & Institutional,142,Public & Institutional,4,0
P,Public & Institutional,13384.6823519,11193035.4581,Public & Institutional,143,Public & Institutional,4,0
PUD-A,Agriculture-PUD,1010.7934705,57660.5432816,Agriculture-PUD,144,Agriculture-PUD,149,0
PUD-C,Commercial-PUD,905.426465635,32021.8273425,Commercial-PUD,145,Commercial-PUD,6,0
PUD-C,Commercial-PUD,525.596095403,17180.827256,Commercial-PUD,146,Commercial-PUD,6,0
PUD-C,Commercial-PUD,1965.09737672,221165.580887,Commercial-PUD,147,Commercial-PUD,6,0
PUD-C,Commercial-PUD,4674.85990271,1321914.86991,Commercial-PUD,148,Commercial-PUD,6,0
PUD-C,Commercial-PUD,3302.72576929,636731.346891,Commercial-PUD,149,Commercial-PUD,6,0
PUD-C,Commercial-PUD,1415.17073335,73163.8810368,Commercial-PUD,150,Commercial-PUD,6,0
PUD-C,Commercial-PUD,2339.17359912,340348.256064,Commercial-PUD,151,Commercial-PUD,6,0
PUD-C-C,Central Commercial-PUD,976.966715423,50530.9289516,Central Commercial-PUD,152,Central Commercial-PUD,157,0
PUD-C-O,Planned Unit Development - Commercial-Office,4324.44409663,553589.560219,Planned Unit Development - Commercial-Office,153,Planned Unit Development - Commercial-Office,11,0
PUD-MU,Planned Unit Development - Mixed Use,5586.20169576,1293787.59965,Planned Unit Development - Mixed Use_NonRes,154,Planned Unit Development - Mixed Use_NonRes,159,0
PUD-C-O,Planned Unit Development - Commercial-Office,1648.2671776,167501.026587,Planned Unit Development - Commercial-Office,155,Planned Unit Development - Commercial-Office,11,0
PUD-C-O,Planned Unit Development - Commercial-Office,2094.49092138,157405.875114,Planned Unit Development - Commercial-Office,156,Planned Unit Development - Commercial-Office,11,0
PUD-C-O,Planned Unit Development - Commercial-Office,1415.40799691,109325.276665,Planned Unit Development - Commercial-Office,157,Planned Unit Development - Commercial-Office,11,0
PUD-C-O,Planned Unit Development - Commercial-Office,1361.67202808,105735.091525,Planned Unit Development - Commercial-Office,158,Planned Unit Development - Commercial-Office,11,0
PUD-C-O,Planned Unit Development - Commercial-Office,1162.08128207,65930.8118103,Planned Unit Development - Commercial-Office,159,Planned Unit Development - Commercial-Office,11,0
PUD-C-O,Planned Unit Development - Commercial-Office,386.047128842,9085.83067419,Planned Unit Development - Commercial-Office,160,Planned Unit Development - Commercial-Office,11,0
PUD-C-O,Planned Unit Development - Commercial-Office,1058.6679102,61122.1885955,Planned Unit Development - Commercial-Office,161,Planned Unit Development - Commercial-Office,11,0
PUD-C-S,Commercial Service-PUD,870.063656472,48654.2433232,Commercial Service-PUD,162,Commercial Service-PUD,167,0
PUD-HDR,Planned Unit Development - High Density Residential,721.870234707,31081.7128966,Planned Unit Development - High Density Residential,163,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,540.770863051,18056.4880106,Planned Unit Development - High Density Residential,164,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,603.457213716,14671.0335031,Planned Unit Development - High Density Residential,165,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,509.279377808,12395.5107248,Planned Unit Development - High Density Residential,166,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,598.884793789,22757.9502443,Planned Unit Development - High Density Residential,167,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,452.776737099,10126.5082566,Planned Unit Development - High Density Residential,168,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,410.314229267,7098.25096187,Planned Unit Development - High Density Residential,169,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,898.777701901,49895.973193,Planned Unit Development - High Density Residential,170,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,977.807969235,54672.6306166,Planned Unit Development - High Density Residential,171,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,1372.32668881,76869.5661964,Planned Unit Development - High Density Residential,172,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,1213.80551107,78782.3201858,Planned Unit Development - High Density Residential,173,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,2046.29636822,89991.0255713,Planned Unit Development - High Density Residential,174,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,1537.8143854100001,90728.3105356,Planned Unit Development - High Density Residential,175,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,1658.84941294,105532.863421,Planned Unit Development - High Density Residential,176,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,1421.9018818,120897.215691,Planned Unit Development - High Density Residential,177,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,2158.21423529,161820.665308,Planned Unit Development - High Density Residential,178,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,1948.9083369,185539.517017,Planned Unit Development - High Density Residential,179,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,889.708967385,40559.491577,Planned Unit Development - High Density Residential,180,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,3705.67631634,537416.557141,Planned Unit Development - High Density Residential,181,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,2816.01631816,312025.759461,Planned Unit Development - High Density Residential,182,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,2621.84743471,331682.017485,Planned Unit Development - High Density Residential,183,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,2740.35979147,381366.946686,Planned Unit Development - High Density Residential,184,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,2570.43923827,402372.057047,Planned Unit Development - High Density Residential,185,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,3731.65121732,479487.172881,Planned Unit Development - High Density Residential,186,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,4547.76083215,542597.671729,Planned Unit Development - High Density Residential,187,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,3562.18490232,581918.786325,Planned Unit Development - High Density Residential,188,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,4328.3768981,664039.854589,Planned Unit Development - High Density Residential,189,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,4451.04731273,697121.716202,Planned Unit Development - High Density Residential,190,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,3665.55650593,864109.562109,Planned Unit Development - High Density Residential,191,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,4293.14496971,1029956.84468,Planned Unit Development - High Density Residential,192,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,1053.82184208,33185.0262412,Planned Unit Development - High Density Residential,193,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,862.38713783,33008.173727,Planned Unit Development - High Density Residential,194,Planned Unit Development - High Density Residential,14,2
PUD-HR,Hillside Residential,434.595713339,14985.2381124,Hillside Residential,195,Hillside Residential,202,1
PUD-HR,Hillside Residential,514.002443584,15065.5395374,Hillside Residential,196,Hillside Residential,202,1
PUD-HR,Hillside Residential,440.724646833,15404.8566815,Hillside Residential,197,Hillside Residential,202,1
PUD-HR,Hillside Residential,1174.97270305,62782.290246,Hillside Residential,198,Hillside Residential,202,1
PUD-HR,Hillside Residential,405.074948132,13001.6648549,Hillside Residential,199,Hillside Residential,202,1
PUD-HR,Hillside Residential,414.780091464,13546.310505,Hillside Residential,200,Hillside Residential,202,1
PUD-HR,Hillside Residential,406.322448941,13082.5401003,Hillside Residential,201,Hillside Residential,202,1
PUD-HR,Hillside Residential,360.054428505,9587.77846131,Hillside Residential,202,Hillside Residential,202,1
PUD-I,Industrial-PUD,1443.58398969,66790.0266008,Industrial-PUD,203,Industrial-PUD,210,0
PUD-I,Industrial-PUD,7539.15087353,2904246.33519,Industrial-PUD,204,Industrial-PUD,210,0
PUD-I,Industrial-PUD,7397.35648154,3502450.16809,Industrial-PUD,205,Industrial-PUD,210,0
PUD-I/C-O,Planned Unit Development - Industrial/Commercial-Offices,9052.44707695,4592878.89998,Planned Unit Development - Industrial/Commercial-Offices,206,Planned Unit Development - Industrial/Commercial-Offices,25,0
PUD-I/C-O,Planned Unit Development - Industrial/Commercial-Offices,3359.38672952,733236.80446,Planned Unit Development - Industrial/Commercial-Offices,207,Planned Unit Development - Industrial/Commercial-Offices,25,0
PUD-I/C-O,Planned Unit Development - Industrial/Commercial-Offices,3325.72557276,399701.669694,Planned Unit Development - Industrial/Commercial-Offices,208,Planned Unit Development - Industrial/Commercial-Offices,25,0
PUD-LDR,Low Density Residential,3314.60497946,403328.794951,Low Density Residential,209,Low Density Residential,29,1
PUD-LDR,Low Density Residential,811.171920476,45655.2679454,Low Density Residential,210,Low Density Residential,29,1
PUD-LDR,Low Density Residential,1773.68868586,201676.871281,Low Density Residential,211,Low Density Residential,29,1
PUD-LDR,Low Density Residential,357.02179664,10096.6487848,Low Density Residential,212,Low Density Residential,29,1
PUD-LDR,Low Density Residential,7176.51745076,3207377.94372,Low Density Residential,213,Low Density Residential,29,1
PUD-LDR,Low Density Residential,2928.37351571,424688.692577,Low Density Residential,214,Low Density Residential,29,1
PUD-LDR,Low Density Residential,3020.21771181,438774.75617,Low Density Residential,215,Low Density Residential,29,1
PUD-LDR,Low Density Residential,1909.15036906,221898.465254,Low Density Residential,216,Low Density Residential,29,1
PUD-LDR/OS,Low Density Residential/Open Space-PUD,6091.63813203,2074172.08102,Low Density Residential/Open Space-PUD_SingleFamily,217,Low Density Residential/Open Space-PUD_SingleFamily,225,1
PUD-LDR/OS,Low Density Residential/Open Space-PUD,6674.4146272,2203488.01611,Low Density Residential/Open Space-PUD_NonRes,218,Low Density Residential/Open Space-PUD_NonRes,994,0
PUD-MDR,Planned Unit Development - Medium Density Residential,3289.38229828,461208.310906,Planned Unit Development - Medium Density Residential,219,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,3247.8863056,395648.669291,Planned Unit Development - Medium Density Residential,220,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,3243.7712847,585614.445603,Planned Unit Development - Medium Density Residential,221,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,6785.85331906,2490967.58712,Planned Unit Development - Medium Density Residential,222,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,6561.26704617,2117489.2122,Planned Unit Development - Medium Density Residential,223,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,4491.27258142,1246484.88465,Planned Unit Development - Medium Density Residential,224,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,4877.2298662,1109209.22695,Planned Unit Development - Medium Density Residential,225,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,4084.50424182,840021.262594,Planned Unit Development - Medium Density Residential,226,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,521.397185858,12357.7738296,Planned Unit Development - Medium Density Residential,227,Planned Unit Development - Medium Density Residential,40,1
