DATA,DATA_TY,Shp_Lng,Shap_Ar,gnrl_p_,id,edt_g__,zoningd,zoning
PUD-HDR,Planned Unit Development - High Density Residential,473.272573835,10785.5873415,Planned Unit Development - High Density Residential,401,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,462.424546143,10179.7111139,Planned Unit Development - High Density Residential,402,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,1862.09253989,118587.282908,Planned Unit Development - High Density Residential,403,Planned Unit Development - High Density Residential,14,2
PUD-O,Planned Unit Development - Office,722.999143517,30637.4138718,Planned Unit Development - Office,404,Planned Unit Development - Office,126,0
PUD-LDR,Low Density Residential,1163.17674255,72623.1651935,Low Density Residential,405,Low Density Residential,29,1
PUD-LDR,Low Density Residential,1526.49293735,145335.837152,Low Density Residential,406,Low Density Residential,29,1
PUD-MDR,Planned Unit Development - Medium Density Residential,4833.90794253,1469730.87443,Planned Unit Development - Medium Density Residential,407,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,2656.845997,311800.662196,Planned Unit Development - Medium Density Residential,408,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,3190.45576987,629681.403489,Planned Unit Development - Medium Density Residential,409,Planned Unit Development - Medium Density Residential,40,1
PUD-LDR,Low Density Residential,844.100133945,34840.4071577,Low Density Residential,410,Low Density Residential,29,1
PUD-LDR,Low Density Residential,1346.63569348,113659.111196,Low Density Residential,411,Low Density Residential,29,1
PUD-LDR,Low Density Residential,1170.68465671,60316.8816019,Low Density Residential,412,Low Density Residential,29,1
PUD-LDR,Low Density Residential,1421.34138663,117554.944429,Low Density Residential,413,Low Density Residential,29,1
PUD-LDR,Low Density Residential,2992.38411459,360121.047702,Low Density Residential,414,Low Density Residential,29,1
PUD-LDR,Low Density Residential,7717.49723151,2646013.62683,Low Density Residential,415,Low Density Residential,29,1
PUD-LDR,Low Density Residential,5231.45519961,1816732.16064,Low Density Residential,416,Low Density Residential,29,1
PUD-OS,Planned Unit Development - Open Space,1183.45270612,71458.4612833,Planned Unit Development - Open Space,417,Planned Unit Development - Open Space,260,0
PUD-LDR,Low Density Residential,1416.55126013,99159.4091242,Low Density Residential,418,Low Density Residential,29,1
PUD-COMMUNITY PARK,Community Park,5018.32846443,896604.583676,Community Park,419,Community Park,432,0
PUD-HR,Hillside Residential,468.522650049,17420.8142706,Hillside Residential,420,Hillside Residential,202,1
PUD-HR,Hillside Residential,673.985180084,36075.5294566,Hillside Residential,421,Hillside Residential,202,1
PUD-HR,Hillside Residential,396.047361156,12443.8788482,Hillside Residential,422,Hillside Residential,202,1
PUD-HR,Hillside Residential,396.075725432,12447.4175801,Hillside Residential,423,Hillside Residential,202,1
PUD-OS,Planned Unit Development - Open Space,908.628596229,16824.1976836,Planned Unit Development - Open Space,424,Planned Unit Development - Open Space,260,0
PUD-MDR,Planned Unit Development - Medium Density Residential,4861.27115693,719634.112595,Planned Unit Development - Medium Density Residential,425,Planned Unit Development - Medium Density Residential,40,1
PUD-HR,Hillside Residential,536.014549731,19137.9129291,Hillside Residential,426,Hillside Residential,202,1
PUD-HDR,Planned Unit Development - High Density Residential,530.732167428,13098.4999724,Planned Unit Development - High Density Residential,427,Planned Unit Development - High Density Residential,14,2
PUD-R-1-65,Single Family Residential-PUD,783.833062749,19463.5870138,Single Family Residential-PUD,428,Single Family Residential-PUD,266,1
PUD-RDR/LDR,Rural Density Residential/Low Density Residential-PUD,1236.49638212,75991.9139102,Rural Density Residential/Low Density Residential-PUD,429,Rural Density Residential/Low Density Residential-PUD,268,1
R-1-65,Single Family Residential,4516.90398541,964498.582724,Single Family Residential,430,Single Family Residential,55,1
RM-4,Multiple-Family Residential,1550.20360549,63751.0809929,Multiple-Family Residential,431,Multiple-Family Residential,302,2
PUD-HDR,Planned Unit Development - High Density Residential,453.885602439,9630.99453339,Planned Unit Development - High Density Residential,432,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,602.930029936,22719.751873,Planned Unit Development - High Density Residential,433,Planned Unit Development - High Density Residential,14,2
PUD-MU,Planned Unit Development - Mixed Use,2490.98103516,370697.979356,Planned Unit Development - Mixed Use_NonRes,434,Planned Unit Development - Mixed Use_NonRes,159,0
P,Public & Institutional,6408.89722578,1003895.13405,Public & Institutional,435,Public & Institutional,4,0
PUD-G&LI,General & Light Industrial-PUD,1631.46047943,138879.785055,General & Light Industrial-PUD,436,General & Light Industrial-PUD,453,0
A,Agriculture,11622.4483172,6063395.44319,Agriculture,437,Agriculture,1,0
PUD-C-C,Central Commercial-PUD,2580.69557978,263447.946724,Central Commercial-PUD,438,Central Commercial-PUD,157,0
PUD-C-C,Central Commercial-PUD,565.3114202,11664.3138999,Central Commercial-PUD,439,Central Commercial-PUD,157,0
PUD-MDR,Planned Unit Development - Medium Density Residential,4750.49586028,1175570.10979,Planned Unit Development - Medium Density Residential,440,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,2635.99588028,286614.728241,Planned Unit Development - Medium Density Residential,441,Planned Unit Development - Medium Density Residential,40,1
PUD-LDR/HDR/P&I & Mixed P&I/MDR,Low Density Residential/High Density Residential/Public & Institutional-Mixed Public & Institutional/Medium Density Residential-PUD,4239.83219319,1003018.18546,Low Density Residential/High Density Residential_NonRes,442,Low Density Residential/High Density Residential_NonRes,461,0
PUD-MDR,Planned Unit Development - Medium Density Residential,2605.85150663,398243.016341,Planned Unit Development - Medium Density Residential,443,Planned Unit Development - Medium Density Residential,40,1
PUD-C,Commercial-PUD,1077.78072929,72957.1516218,Commercial-PUD,444,Commercial-PUD,6,0
PUD-C,Commercial-PUD,834.017857368,36323.5847125,Commercial-PUD,445,Commercial-PUD,6,0
PUD-SRDR,Semi-Rural Residential,3290.12482631,445601.03545,Semi-Rural Residential,446,Semi-Rural Residential,465,1
PUD-SRDR,Semi-Rural Residential,5731.43005689,1426888.76569,Semi-Rural Residential,447,Semi-Rural Residential,465,1
PUD-LDR/OS,Low Density Residential/Open Space-PUD,3852.72339032,653422.755903,Low Density Residential/Open Space-PUD_SingleFamily,448,Low Density Residential/Open Space-PUD_SingleFamily,225,1
PUD-OS,Planned Unit Development - Open Space,1999.35496909,163639.128944,Planned Unit Development - Open Space,449,Planned Unit Development - Open Space,260,0
PUD-LDR,Low Density Residential,1689.20204053,168161.308387,Low Density Residential,450,Low Density Residential,29,1
PUD-OS,Planned Unit Development - Open Space,3823.68528811,696284.601178,Planned Unit Development - Open Space,451,Planned Unit Development - Open Space,260,0
PUD-LDR,Low Density Residential,1539.85262482,117009.171251,Low Density Residential,452,Low Density Residential,29,1
A,Agriculture,1809.84725973,115980.120374,Agriculture,453,Agriculture,1,0
R-1-40,Single Family Residential,1552.16488975,133969.57756,Single Family Residential,454,Single Family Residential,55,1
PUD-LDR,Low Density Residential,1611.30708858,107817.010032,Low Density Residential,455,Low Density Residential,29,1
PUD-RDR/LDR/A,Rural Density Residential/Low Density Residential/Agriculture-PUD,15203.8342602,8582499.40354,Rural Density Residential/Low Density Residential_NonRes,456,Rural Density Residential/Low Density Residential_NonRes,988,0
PUD-OSD,Open Space District-PUD,6981.6695121,2195788.60602,Open Space District-PUD,457,Open Space District-PUD,478,0
P,Public & Institutional,1499.96151314,132545.228178,Public & Institutional,458,Public & Institutional,4,0
PUD-HDR,Planned Unit Development - High Density Residential,1689.42714939,98996.8639097,Planned Unit Development - High Density Residential,459,Planned Unit Development - High Density Residential,14,2
A,Agriculture,1061.54022661,68535.5916071,Agriculture,460,Agriculture,1,0
R-1-65,Single Family Residential,30236.2607802,25811813.197,Single Family Residential_Multifamily,461,Single Family Residential_Multifamily,482,2
PUD-LDR/RDR/OS,Low Density Residential/Rural Density Residential/Open Space-PUD,3961.60105149,882635.681445,Low Density Residential/Rural Density Residential_SingleFam,462,Low Density Residential/Rural Density Residential_SingleFam,39,1
PUD-LDR/O,Low Density Residential/Office-PUD,1490.82863714,115697.571998,Low Density Residential/Office-PUD_NonRes,463,Low Density Residential/Office-PUD_NonRes,484,0
PUD-MDR,Planned Unit Development - Medium Density Residential,1027.43283553,40531.5805064,Planned Unit Development - Medium Density Residential,464,Planned Unit Development - Medium Density Residential,40,1
PUD-LDR,Low Density Residential,2531.132582,344631.109946,Low Density Residential,465,Low Density Residential,29,1
PUD-LDR,Low Density Residential,4632.8001626,822642.156274,Low Density Residential,466,Low Density Residential,29,1
PUD-MDR,Planned Unit Development - Medium Density Residential,1179.34716356,84763.6691343,Planned Unit Development - Medium Density Residential,467,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,1655.39970007,91745.334858,Planned Unit Development - Medium Density Residential,468,Planned Unit Development - Medium Density Residential,40,1
R-1-20,Single Family Residential,6735.68095954,1958701.00162,Single Family Residential,469,Single Family Residential,55,1
R-1-65,Single Family Residential,3966.62758597,857109.034531,Single Family Residential,470,Single Family Residential,55,1
PUD-MDR,Planned Unit Development - Medium Density Residential,988.932630512,39166.7948055,Planned Unit Development - Medium Density Residential,471,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,1281.94369162,81458.5175261,Planned Unit Development - Medium Density Residential,472,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,1000.2885528,47488.7614899,Planned Unit Development - Medium Density Residential,473,Planned Unit Development - Medium Density Residential,40,1
PUD-A/OS,Agriculture/Open Space-PUD,12974.7971875,2490701.18571,Agriculture/Open Space-PUD,474,Agriculture/Open Space-PUD,496,0
PUD-GC,Open Space - PUD,16772.0450997,5738463.80972,Open Space - PUD,475,Open Space - PUD,497,0
PUD-LDR/MDR/OS,Low Density Residential/Medium Density Residential/Open Space-PUD,13771.1445735,9997395.9495,Low Density Residential/Medium Density Residential_SingleFam,476,Low Density Residential/Medium Density Residential_SingleFam,662,1
PUD-RDR/OS,Rural Density Residential/Open Space-PUD,22490.461968,24403938.2566,Rural Density Residential/Open Space-PUD,477,Rural Density Residential/Open Space-PUD,499,0
PUD-LDR,Low Density Residential,5682.63063832,1641405.05459,Low Density Residential,478,Low Density Residential,29,1
PUD-LDR/OS,Low Density Residential/Open Space-PUD,6602.05524006,2331472.97919,Low Density Residential/Open Space-PUD_SingleFamily,479,Low Density Residential/Open Space-PUD_SingleFamily,225,1
R-1-65,Single Family Residential,7276.96833214,2498767.54434,Single Family Residential,480,Single Family Residential,55,1
PUD-LDR,Low Density Residential,1797.97855698,195716.673113,Low Density Residential,481,Low Density Residential,29,1
PUD-MDR,Planned Unit Development - Medium Density Residential,3840.85186156,680101.515736,Planned Unit Development - Medium Density Residential,482,Planned Unit Development - Medium Density Residential,40,1
PUD-LDR,Low Density Residential,1050.48181727,68652.4744715,Low Density Residential,483,Low Density Residential,29,1
PUD-LDR,Low Density Residential,870.643680411,43302.1594248,Low Density Residential,484,Low Density Residential,29,1
PUD-LDR,Low Density Residential,3276.61058902,346576.204032,Low Density Residential,485,Low Density Residential,29,1
PUD-MU,Planned Unit Development - Mixed Use,1576.80867985,145055.078943,Planned Unit Development - Mixed Use_NonRes,486,Planned Unit Development - Mixed Use_NonRes,159,0
PUD-MU,Planned Unit Development - Mixed Use,1968.16041105,119716.292298,Planned Unit Development - Mixed Use_NonRes,487,Planned Unit Development - Mixed Use_NonRes,159,0
C-R (m),Commercial Regional (Enclosed Mall),8948.29488584,2751706.55342,Commercial Regional (Enclosed Mall),488,Commercial Regional (Enclosed Mall),510,0
PUD-MU,Planned Unit Development - Mixed Use,2586.45224341,377335.809769,Planned Unit Development - Mixed Use_NonRes,489,Planned Unit Development - Mixed Use_NonRes,159,0
PUD-RDR,Planned Unit Development - Rural Density Residential,2480.95459688,278919.701001,Planned Unit Development - Rural Density Residential,490,Planned Unit Development - Rural Density Residential,512,1
PUD-HDR,Planned Unit Development - High Density Residential,3343.63262188,304921.666434,Planned Unit Development - High Density Residential,491,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,2750.83985795,388760.943299,Planned Unit Development - High Density Residential,492,Planned Unit Development - High Density Residential,14,2
PUD-LDR,Low Density Residential,1670.45918019,159081.048849,Low Density Residential,493,Low Density Residential,29,1
PUD-HDR,Planned Unit Development - High Density Residential,2220.54052242,242478.063635,Planned Unit Development - High Density Residential,494,Planned Unit Development - High Density Residential,14,2
PUD-C,Commercial-PUD,1452.73161915,109224.918985,Commercial-PUD,495,Commercial-PUD,6,0
PUD-HDR,Planned Unit Development - High Density Residential,1786.64905839,196238.489428,Planned Unit Development - High Density Residential,496,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,3516.58363706,500913.928758,Planned Unit Development - High Density Residential,497,Planned Unit Development - High Density Residential,14,2
PUD-MDR/LDR/RDR,Medium Density Residential/Low Density Residential/Rural Density Residential-PUD,9677.79490779,4575799.32976,Medium Density Residential/Low Density Residential_NonRes,498,Medium Density Residential/Low Density Residential_NonRes,991,0
PUD-MDR,Planned Unit Development - Medium Density Residential,3877.26963466,867762.154925,Planned Unit Development - Medium Density Residential,499,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,1877.86720995,95456.6849704,Planned Unit Development - Medium Density Residential,500,Planned Unit Development - Medium Density Residential,40,1
PUD-C,Commercial-PUD,1831.97004043,196353.181077,Commercial-PUD,501,Commercial-PUD,6,0
PUD-HDR/C,High Density Residential/Commercial,6508.53143269,1803035.93294,High Density Residential/Commercial_MultiFamily,502,High Density Residential/Commercial_MultiFamily,528,2
PUD-C,Commercial-PUD,1398.08742109,33567.2746045,Commercial-PUD,503,Commercial-PUD,6,0
PUD-HDR/C,High Density Residential/Commercial,625.091227021,14975.9984153,High Density Residential/Commercial_MultiFamily,504,High Density Residential/Commercial_MultiFamily,528,2
PUD-P,Public & Institutional-PUD,2026.89550931,210684.903602,Public & Institutional-PUD,505,Public & Institutional-PUD,51,0
PUD-P,Public & Institutional-PUD,4440.96941136,740344.589343,Public & Institutional-PUD,506,Public & Institutional-PUD,51,0
PUD-C,Commercial-PUD,2797.16693829,500183.260458,Commercial-PUD,507,Commercial-PUD,6,0
PUD-C,Commercial-PUD,4096.27194926,856255.751386,Commercial-PUD,508,Commercial-PUD,6,0
