id,LAYER,COLOR,LABEL,gnrl_p_,GLOBALI,Shp__Ar,Shp__Ln,MuncplC,edt_g__,zoning
347,EX_ZONE_MUPD,3,MUPD,Mixed Use Planned Development,b2d7fe1d-61c5-41a0-b827-ee6789604d72,6722614.11328,12266.7803628,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Mixed Use Planned Development,0
348,EX_ZONE_IU,4,IU,Intensive Use,7f349a0f-5abc-40a0-b2b4-d0d2c52adfe1,64523.59375,1080.18769225,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Intensive Use,0
349,EX_ZONE_CN,5,CN,Neighborhood Shopping & Service,c2c93a23-7d55-4019-9698-8ea3d9672c0f,5887.3984375,307.838270866089,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Neighborhood Shopping & Service,0
350,EX_ZONE_PDI,191,PDI,Planned Development Industrial,0ad5d64e-a24f-437c-8c10-c78cd672eb27,1375072.69922,6760.85499064,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Planned Development Industrial,0
351,EX_ZONE_MDR,41,MDR,Medium Density Residential,0ba0ec17-9201-464f-9d4a-9e311476b106,1713.87109375,189.841034109285,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Medium Density Residential,2
352,EX_ZONE_CF,150,CF,Freeway Shopping & Service,d4b88d9f-f42f-4247-b0a5-1f84b7742de3,58295.21875,1624.99119427,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Freeway Shopping & Service,0
353,EX_ZONE_HDR,5,HDR,High Density Residential,d48585f7-edf7-49e4-b194-66a17da530d0,105397.257813,1484.70694358,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,High Density Residential,2
354,EX_ZONE_LO,5,LO,Limited Office,703b2186-cd63-4ffe-98ef-d9d0fc3b9da5,8609.74609375,467.433231500255,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Limited Office,0
355,EX_ZONE_MDR,41,MDR,Medium Density Residential,37564ca4-f2c5-4713-8a43-6484c8424a11,5547.31640625,369.516037658697,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Medium Density Residential,2
356,EX_ZONE_HDR,5,HDR,High Density Residential,3886c1c0-c102-4149-bac2-0f22ed56038b,7724.77734375,370.184429096506,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,High Density Residential,2
357,EX_ZONE_CW,140,CW,Waterfront Shopping & Service,1f5d999c-8319-4f46-b267-9dbe5360f176,307399.636719,6304.19481871,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Waterfront Shopping & Service,0
358,EX_ZONE_CF,150,CF,Freeway Shopping & Service,0c1ee25c-4de8-4713-a957-0cd02727f240,39577.1289063,1052.0515509,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Freeway Shopping & Service,0
359,EX_ZONE_CF,150,CF,Freeway Shopping & Service,d9d66a13-5895-43a5-982f-6c5387d6e92d,50262.4375,1135.22763192,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Freeway Shopping & Service,0
