OBJECTID,LABEL,TYPE,Acres,IsHeartofC,CreateDate,UpdateDate,GlobalID,ZoningDesc,ShapeSTAre,ShapeSTLen,Zoning
1702,R2-4.25,R2,0.34369601,No,NA,NA,{23EB5E38-EDCD-4DF9-B158-F516E40D4822},Residential Duplex,14971.3994140625,488.41355512233105,2
1703,R1C,R1C,1.05957729,No,NA,NA,{3812413F-9CCF-4770-B445-1D6ECE12AB4D},Residential Single-Family Cluster,46223.1494140625,884.8832143612154,1
1704,R1-10,R1,33.64533697,No,NA,NA,{13A3AF10-084C-489E-938A-BF13AA5417A3},Single-Family Residential,1465504.6474609375,7336.492217556624,1
1705,P(Res 4-8),R1,8.27322891,No,NA,NA,{22F0C173-27D4-4CAA-A2F0-CE9004EC72D0},Single-Family Residential,360438.7021484375,3681.0385529501687,1
1706,R1-7,R1,0.43535184,No,NA,NA,{D0A8B4DF-A80A-41A6-97DB-4DFBD8313188},Single-Family Residential,18963.9287109375,609.9886193459921,1
1707,R1-7.5,R1,28.70142321,No,NA,NA,{7BA64445-68FC-4676-8824-248C287895D1},Single-Family Residential,1251444.3330078125,6345.754301639414,1
1708,R1-10,R1,0.48920894,No,NA,NA,{E4A7BC27-7687-451E-83A3-3BD12A3592AE},Single-Family Residential,21389.2119140625,681.6072756973402,1
1709,R1-7.5,R1,1.55070925,No,NA,NA,{B7AD2D62-CD4B-4088-82AB-AD805BC9D257},Single-Family Residential,67476.689453125,1695.3028393207082,1
1710,P(R1),R1,1.6694187,No,NA,NA,{2C3283AB-ABC1-48E4-ADB2-D50ECF479C5B},Single-Family Residential,72717.826171875,1622.4808719123284,1
1711,R1-10,R1,17.39335013,No,NA,NA,{3205DDE4-4D48-4A36-AE1B-BED750DFBA1B},Single-Family Residential,757605.89453125,3884.311466527868,1
1712,R1-7.5,R1,0.59960769,No,NA,NA,{03E42405-8F23-4376-96B4-4E3AE13CC6E5},Single-Family Residential,26238.115234375,703.2514992621437,1
1713,BA,BA,10.03042401,No,NA,NA,{EFF89B57-A6F5-43BD-93C2-E55DDCD5B931},Public Building,437469.302734375,2859.4211668195367,NA
1714,BQ,BQ,10.54877685,No,NA,NA,{E96D78E3-44B7-4194-9382-C1E75FC292A5},Quasi Public Building,459152.109375,2891.2396407530223,NA
1715,R3-2.2,R3,0.8012297,No,NA,NA,{E4AEE4D2-0A7E-44FD-A513-75E8B9F11B50},Multiple-Family Residential,34897.599609375,815.0945525651879,2
1716,R1-7.5,R1,16.61571537,No,NA,NA,{E8D0C61B-AF80-468A-88D3-E350EC4D49FC},Single-Family Residential,723196.9970703125,4878.736024461525,1
1717,R2-4.25i,R2,5.42697321,No,NA,NA,{0F31524A-611D-4786-9066-8C109F2F0597},Residential Duplex,236119.193359375,1955.1322121423268,2
1718,OA,OA,3.36098131,No,NA,NA,{438CD216-2211-401C-843C-6125FE7EE347},Administrative Office,146918.36328125,1566.689437706064,NA
1719,P(Res),R1C,1.41413034,No,NA,NA,{B6B5A1F0-35B8-4B53-AF7D-04F822DD1332},Residential Single-Family Cluster,59252.109375,1221.024302235124,1
1720,R1-7.5,R1,38.91301327,No,NA,NA,{8BA56DF7-5470-4E59-A9EC-0BE30B1D520A},Single-Family Residential,1694484.5205078125,6600.092375663942,1
1721,P(OA),OA,1.36517248,No,NA,NA,{2A0AC273-B260-41CC-AFC5-658ABFEE81D7},Administrative Office,59511.2333984375,1185.1029773605796,NA
