id,general_pl,Zoning
367,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
368,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
369,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
370,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
371,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
372,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
373,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
374,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
375,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
376,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
377,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
378,PUBLIC-OS,NA
379,PUBLIC-40-X,NA
380,PUBLIC-40-X,NA
381,PUBLIC-OS,NA
382,PUBLIC-40-X,NA
383,PUBLIC-40-X,NA
384,PUBLIC-40-X,NA
385,PUBLIC-40-X,NA
386,PUBLIC-OS,NA
387,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-50-X",NA
388,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
389,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
390,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
391,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
392,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
393,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
394,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
395,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
396,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
397,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
398,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
399,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
400,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
401,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
402,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
403,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
404,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
405,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
406,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
407,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
408,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
409,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-50-X",NA
410,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-50-X",NA
411,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-80-D",NA
412,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-160-F",NA
413,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-130-V",NA
414,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-130-B",NA
415,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-65-A",NA
416,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-80-T",NA
417,PUBLIC-40-X,NA
418,PUBLIC-40-X,NA
419,PUBLIC-40-X,NA
420,PUBLIC-OS,NA
421,PUBLIC-OS,NA
422,PUBLIC-40-X,NA
423,PUBLIC-40-X,NA
424,PUBLIC-40-X,NA
425,PUBLIC-40-X,NA
426,PUBLIC-40-X,NA
427,PUBLIC-40-X,NA
428,PUBLIC-OS,NA
429,PUBLIC-OS,NA
430,PUBLIC-40-X,NA
431,PUBLIC-OS,NA
432,PUBLIC-40-X,NA
433,PUBLIC-OS,NA
434,PUBLIC-40-X,NA
435,PUBLIC-OS,NA
436,PUBLIC-OS,NA
