ZoningDesc,GroupLabel,UnitsPerAc,MinimumLot,MinimumL_1,PlannedDis,NoticingBu,SHAPE_STAr,SHAPE_STLe,BaseZone,Zoning
NA,RM Multi-Family Residential,0,0,0,NA,0,162434.78418,1721.9213105,RM,2
NA,RM Multi-Family Residential,0,0,0,NA,0,64391.2265625,1449.60106805,RM,2
NA,RS-6 Single Family Residential,0,0,0,NA,0,61534.4335938,1396.47449947,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,158984.577148,2921.56186313,RS-6,1
NA,CH - Highway Commercial,0,0,0,NA,0,6350.640625,386.259981607,CH,NA
NA,CH - Highway Commercial,0,0,0,NA,0,181208.317383,2594.76894858,CH,NA
NA,CC - Central Commercial,0,0,0,NA,0,69126.2148438,1274.57586061,CC,NA
NA,CH - Highway Commercial,0,0,0,NA,0,140521.436523,2987.28278945,CH,NA
NA,RD-5.5-7 Residential,0,0,0,NA,0,44864.7421875,988.274495899,RD-5.5-7,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,249324.024414,3713.56328106,RD-5.5-7,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,369381.037109,3388.81119755,RD-5.5-7,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,101401.44043,2524.61008907,RD-5.5-7,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,271073.923828,3259.51824801,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,1863265.49023,18392.559044,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,377207.665039,4168.38310496,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,870164.607422,7838.20001182,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,314203.963867,3724.80290442,RS-6,1
NA,PDD - Planned Development District,0,0,0,NA,0,72012.5048828,1953.57677413,PDD,NA
NA,PDD - Planned Development District,0,0,0,NA,0,4859211.15625,14022.6519103,PDD,1
NA,CL - Light Commercial,0,0,0,NA,0,164464.107422,1868.77976566,CL,NA
NA,CH - Highway Commercial,0,0,0,NA,0,142795.441406,2151.31549935,CH,NA
NA,CC - Central Commercial,0,0,0,NA,0,35075.4150391,1077.80418772,CC,NA
NA,PD - Public Domain,0,0,0,NA,0,895856.71875,5414.43239013,PD,NA
