Entity,Layer,Color,Linetyp,Elevatn,LineWt,RefName,Symblgy,Red,Green,Blue,Shp_STA,Shp_STL,gnrl_p_,id,edt_g__,zoning
LWPolyline,ZM-OS-1,7,Continuous,0,25,NA,OS-1,217,255,204,46502.5458984,1680.62664717,OS-1,265,OS-1,0
LWPolyline,ZM-OS-1,7,Continuous,0,25,NA,OS-1,217,255,204,5973884.56152,15088.7976883,OS-1,266,OS-1,0
LWPolyline,ZM-OS-1,7,Continuous,0,25,NA,OS-1,217,255,204,1194963.17773,6048.34777853,OS-1,267,OS-1,0
LWPolyline,ZM-CC,7,Continuous,0,25,NA,CC,255,102,51,542859.329102,2942.12411542,CC,268,CC,0
LWPolyline,ZM-P,7,Continuous,0,25,NA,P,126,189,126,228365.242188,3908.83498927,P,269,P,0
LWPolyline,ZM-OS-1,7,Continuous,0,25,NA,OS-1,217,255,204,81183.6074219,2021.65375071,OS-1,270,OS-1,0
LWPolyline,ZM-PD,7,Continuous,0,25,NA,PD,189,189,126,3292771.81055,12003.9584126,PD_SF,271,PD_SF,1
LWPolyline,ZM-PD,7,Continuous,0,25,NA,PD,189,189,126,1877351.67773,9989.11977584,PD_SF,272,PD_SF,1
LWPolyline,ZM-PD,7,Continuous,0,25,NA,PD,189,189,126,1482724.125,5406.0374059,PD_SF,273,PD_SF,1
LWPolyline,ZM-OS-1,7,Continuous,0,25,NA,OS-1,217,255,204,1205454.55176,12146.9315778,OS-1,274,OS-1,0
LWPolyline,ZM-PS,7,Continuous,0,25,NA,PS,126,157,189,637041.353516,3784.72800424,PS,275,PS,0
LWPolyline,ZM-PS,7,Continuous,0,25,NA,PS,126,157,189,51425.4980469,895.525806882,PS,276,PS,0
LWPolyline,ZM-PS,7,Continuous,0,25,NA,PS,126,157,189,511525.956055,3058.64432214,PS,277,PS,0
LWPolyline,ZM-CC,7,Continuous,0,25,NA,CC,255,102,51,43529.2802734,826.327572905,CC,278,CC,0
LWPolyline,ZM-P,7,Continuous,0,25,NA,P,126,189,126,106671.05957,1303.39696967,P,279,P,0
LWPolyline,ZM-PD,7,Continuous,0,25,NA,PD,189,189,126,3286887.41895,10380.777748,PD_SF,280,PD_SF,1
LWPolyline,ZM-PD,7,Continuous,0,25,NA,PD,189,189,126,3112099.67676,11252.2643663,PD_MF,281,PD_MF,2
LWPolyline,ZM-P,7,Continuous,0,25,NA,P,126,189,126,220738.941406,1987.22203437,P,282,P,0
LWPolyline,ZM-P,7,Continuous,0,25,NA,P,126,189,126,197823.956055,1763.79083443,P,283,P,0
LWPolyline,ZM-P,7,Continuous,0,25,NA,P,126,189,126,120299.391602,1586.46340228,P,284,P,0
LWPolyline,ZM-OS-1,7,Continuous,0,25,NA,OS-1,217,255,204,207232.790039,2419.06818091,OS-1,285,OS-1,0
LWPolyline,ZM-OS-1,7,Continuous,0,25,NA,OS-1,217,255,204,89899.4316406,2126.99353428,OS-1,286,OS-1,0
LWPolyline,ZM-OS-1,7,Continuous,0,25,NA,OS-1,217,255,204,107581.435547,2271.16639302,OS-1,287,OS-1,0
LWPolyline,ZM-PD,7,Continuous,0,25,NA,PD,189,189,126,1454817.49902,4730.77018506,PD_SF,288,PD_SF,1
LWPolyline,ZM-PD,7,Continuous,0,25,NA,PD,189,189,126,1404296.53711,6164.27434869,PD_SF,289,PD_SF,1
LWPolyline,ZM-MUCC,7,Continuous,0,25,NA,MUCC,78,104,0,697721.594727,3401.66832562,MUCC,290,MUCC,0
LWPolyline,ZM-MUCC,7,Continuous,0,25,NA,MUCC,78,104,0,491538.905273,2829.6461658,MUCC,291,MUCC,0
LWPolyline,ZM-AG-RC,7,Continuous,0,25,NA,AG,129,129,0,130678.070313,1441.94713805,AG,292,AG,0
LWPolyline,ZM-PS,7,Continuous,0,25,NA,PS,126,157,189,890378.265625,4224.22160139,PS,293,PS,0
LWPolyline,ZM-PS,7,Continuous,0,25,NA,PS,126,157,189,435635.727539,2781.56689182,PS,294,PS,0
LWPolyline,ZM-P,7,Continuous,0,25,NA,P,126,189,126,653182.962891,3330.84752377,P,295,P,0
LWPolyline,ZM-PD,7,Continuous,0,25,NA,PD,189,189,126,2349696.48926,8435.75271927,PD_SF,296,PD_SF,1
LWPolyline,ZM-OS-1,7,Continuous,0,25,NA,OS-1,217,255,204,833689.46875,7173.90325342,OS-1,297,OS-1,0
LWPolyline,ZM-P,7,Continuous,0,25,NA,P,126,189,126,276279.389648,2233.09744054,P,298,P,0
LWPolyline,ZM-PD,7,Continuous,0,25,NA,PD,189,189,126,2225972.6543,6626.78831091,PD_SF,299,PD_SF,1
LWPolyline,ZM-PD,7,Continuous,0,25,NA,PD,189,189,126,2153194.55273,7749.77992859,PD_SF,300,PD_SF,1
LWPolyline,ZM-PS,7,Continuous,0,25,NA,PS,126,157,189,724643.52832,3659.6859861,PS,301,PS,0
LWPolyline,ZM-RS-10,7,Continuous,0,25,NA,RS-10,250,232,71,69296.9765625,1290.17593759,RS-10,302,RS-10,1
LWPolyline,ZM-RS-10,7,Continuous,0,25,NA,RS-10,250,232,71,114621.650391,1818.78722189,RS-10,303,RS-10,1
LWPolyline,ZM-P,7,Continuous,0,25,NA,P,126,189,126,8588.73632813,426.05514314,P,304,P,0
LWPolyline,ZM-OS-1,7,Continuous,0,25,NA,OS-1,217,255,204,612596.509766,6739.30116106,OS-1,305,OS-1,0
LWPolyline,ZM-OS-1,7,Continuous,0,25,NA,OS-1,217,255,204,209183.193359,1945.50005162,OS-1,306,OS-1,0
LWPolyline,ZM-OS-1,7,Continuous,0,25,NA,OS-1,217,255,204,163575.657227,1909.62723298,OS-1,307,OS-1,0
LWPolyline,ZM-OS-1,7,Continuous,0,25,NA,OS-1,217,255,204,53117.7714844,1075.10319562,OS-1,308,OS-1,0
