gnrl_p_,id,city_nm,zoning
108 - Public-Institutional,464,newark,0
108 - Public-Institutional,465,newark,0
108 - Public-Institutional,466,newark,0
108 - Public-Institutional,467,newark,0
108 - Public-Institutional,468,newark,0
108 - Public-Institutional,469,newark,0
108 - Public-Institutional,470,newark,0
108 - Public Parks-Open Space,471,newark,0
108 - Public Parks-Open Space,472,newark,0
108 - Public Parks-Open Space,473,newark,0
108 - Public Parks-Open Space,474,newark,0
108 - Public Parks-Open Space,475,newark,0
108 - Public Parks-Open Space,476,newark,0
108 - Public Parks-Open Space,477,newark,0
108 - Public Parks-Open Space,478,newark,0
108 - Public Parks-Open Space,479,newark,0
108 - Public Parks-Open Space,480,newark,0
108 - Public Parks-Open Space,481,newark,0
108 - Public Parks-Open Space,482,newark,0
108 - Public Parks-Open Space,483,newark,0
108 - Public Parks-Open Space,484,newark,0
108 - Public Parks-Open Space,485,newark,0
108 - Public Parks-Open Space,486,newark,0
108 - Public Parks-Open Space,487,newark,0
108 - Regional Commercial,488,newark,0
108 - Special Industrial,489,newark,0
108 - Special Industrial,490,newark,0
108 - Special Industrial,491,newark,0
108 - Special Industrial,492,newark,0
108 - Special Industrial,493,newark,0
108 - Special Industrial,494,newark,0
108 - Special Industrial,495,newark,0
108 - Special Industrial,496,newark,0
108 - Specialty Commercial,497,newark,0
108 - Specialty Commercial,498,newark,0
108 - Specialty Commercial,499,newark,0
108 - Specialty Commercial,500,newark,0
108 - Special Industrial_SingleFamily,996,newark,1
108 - General Industrial,997,newark,0
108 - General Industrial_Multifamily,998,newark,2
108 - General Industrial_Multifamily,999,newark,2
