apn,fld_firm_z,gp_values1,gpz_gen_pl,gpz_z_labe,lot_tot_po,parcelid,prc_legal_,prc_puc_co,prc_situs1,prc_situs_,prc_tax_co,site_addre,Zoning,Area_sqmi
074343020,X,Residential Low Density,RL,R1S,13219.49,23-6826,LOT 151 SHARON HEIGHTS UNIT NO 4 RSM 54/42 43,01,94025,MENLO PARK,008,1041 SIERRA DR,1,7.53352790385e-4
074160270,X,Residential Very Low Density,RVL,RES,17736.86,23-7259,LOT 49 SHARON HEIGHTS UNIT NO 13 RSM 63/16 18,01,94025,MENLO PARK,008,2 TRINITY CT,1,0.001010877875254
074111290,X,Residential Low Density,RL,R1S,12978.97,23-7434,0.30 AC MOL ON SLY LN OF SHARON RD COM 668.39 FT SWLY  FR ALAMEDA PULAS PTN OF LOT 24 TOBIN 440AC TR RSM 1/99,01,94025,MENLO PARK,008,2199 SHARON RD,1,7.3964933242e-4
074170440,X,Residential Low Density,RL,R1S,11089.1,23-856,LOT 1 MENLO PARK ESTATES RSM 127/33-34,01,94025,MENLO PARK,008,3 ZACHARY CT,1,6.32658440152e-4
074230080,X,Residential Low Density,RL,R1S,19356.23,23-7101,LOT 101 SHARON HEIGHTS UNIT NO 2 RSM 52/49 50 CITY OF  MENLO PARK,01,94025,MENLO PARK,008,1015 CONTINENTAL DR,1,0.001098614925402
074170450,X,Residential Low Density,RL,R1S,10458.19,23-855,LOT 2 MENLO PARK ESTATES RSM 127/33-34,01,94025,MENLO PARK,008,5 ZACHARY CT,1,5.92088599575e-4
074112210,X,Residential Low Density,RL,R1S,10307.34,23-7419,PARCEL A PER L L S VOL 5 PAGE 82,01,94025,MENLO PARK,008,40 CAMPO BELLO CT,1,5.87388094045e-4
074343030,X,Residential Low Density,RL,R1S,13725.65,23-6825,LOT 152 SHARON HEIGHTS UNIT NO 4 RSM 54/42 43,01,94025,MENLO PARK,008,1031 SIERRA DR,1,7.80505040144e-4
074112230,X,Residential Low Density,RL,R1S,14727.27,23-7417,PARCEL C PER L L S VOL 5 PAGE 82,01,94025,MENLO PARK,008,20 CAMPO BELLO CT,1,8.3926389343e-4
074343120,X,Residential Low Density,RL,R1S,13208.5,23-6816,LOT 161 SHARON HEIGHTS UNIT NO 4 RSM 54/42 43,01,94025,MENLO PARK,008,990 CONTINENTAL DR,1,7.52723519625e-4
074280640,X,Residential Medium Density,RM,R3A(X),88920.09,23-6941,PARCEL A 2.057 AC MOL PARCEL MAP VOL 5/31,05,94025,MENLO PARK,008,2225 SHARON RD 111,2,0.005086432360474
074161340,X,Residential Very Low Density,RVL,RES,15831.58,23-7225,0.351 AC MOL WLY PTN LOT 35 PARCEL MAP VOL 22/28,01,94025,MENLO PARK,008,1140 TRINITY DR,1,9.0460090344e-4
074351250,X,Residential Low Density,RL,R1S,10021.91,23-6798,LOT 15 SHARON WOODS RSM 73/20,01,94025,MENLO PARK,008,1140 DEANNA DR,1,5.71060066267e-4
074341090,X,Residential Low Density,RL,R1S,14475,23-6839,LOT 136 SHARON HEIGHTS UNIT NO 4 RSM 54/42 43,01,94025,MENLO PARK,008,1026 CASCADE DR,1,8.24862668476e-4
074231560,X,Residential Low Density,RL,R1S(X),5966.5,23-23474,LOT 5 1000 SHARON PARK PHASE 2 AMENDED RSM 92/50,01,94025,MENLO PARK,008,1025 LASSEN DR,1,3.4001360441e-4
074230710,X,Residential Low Density,RL,R1S(X),5605.45,23-23484,LOT 38 1000 SHARON PARK RSM 81/45-50,01,94025,MENLO PARK,008,990 LASSEN DR,1,3.19436072182e-4
074351290,X,Residential Low Density,RL,R1S,10035.12,23-6794,LOT 19 SHARON WOODS RSM 73/20,01,94025,MENLO PARK,008,1125 DEANNA DR,1,5.71842644786e-4
074343110,X,Residential Low Density,RL,R1S,13199.78,23-6817,LOT 160 SHARON HEIGHTS UNIT NO 4 RSM 54/42 43,01,94025,MENLO PARK,008,978 CONTINENTAL DR,1,7.5222331948e-4
074111130,X,Residential Low Density,RL,R1S,12041.61,23-7446,100 FT X 120 FT MOL ON NWLY LN OF CLAYTON DR COM       541.81 FT SWLY FR ALAMEDA PULGAS PTN OF LOT 24 TOBIN   440 AC TRACT,01,94025,MENLO PARK,008,2182 CLAYTON DR,1,6.86597614929e-4
074112550,X,Residential Low Density,RL,R1S,10020.61,23-7398,LOT 1 CAMPO BELLO RSM 119/24-25,01,94025,MENLO PARK,008,25 CAMPO BELLO CT,1,5.71003630305e-4
074161350,X,Residential Very Low Density,RVL,RES,360.84,23-7213,0.013 AC MOL ELY PTN LOT 35 PARCEL MAP VOL 22/28,00,94025,NA,008,NA,1,2.05632646e-5
074161310,X,Residential Very Low Density,RVL,RES,15518.5,23-7226,LOT 34 0.348 AC MOL PARCEL MAP VOL 22/28,01,94025,MENLO PARK,008,1130 TRINITY DR,1,8.7945163742e-4
074111160,X,Residential Low Density,RL,R1S,14715.34,23-7444,0.32 ACS MOL COM 120 FT NWLY FR CLAYTON DR & 657.81 FT SWLY FR ALAMEDA PULGAS PTN OF LOT 24 TOBIN 440 AC,01,94025,MENLO PARK,008,2194 CLAYTON DR,1,8.32009872776e-4
074112110,X,Residential Low Density,RL,R1S,15520.07,23-7423,0.36 ACS MOL ON SELY LN OF CLAYTON DR COM 443.69 FT    SWLY FR ALAMEDA PULGAS PTN OF LOTS 14 & 24 TOBIN 440   AC TRACT,01,94025,MENLO PARK,008,2171 CLAYTON DR,1,8.84452913038e-4
074231550,X,Residential Low Density,RL,R1S(X),6207.79,23-23473,LOT 4 1000 SHARON PARK PHASE 2 AMENDED RSM 92/50,01,94025,MENLO PARK,008,1015 LASSEN DR,1,3.53761028658e-4
074231540,X,Residential Low Density,RL,R1S(X),6208.02,23-23472,LOT 3 1000 SHARON PARK PHASE 2 AMENDED RSM 92/50,01,94025,MENLO PARK,008,1005 LASSEN DR,1,3.53772735496e-4
074231530,X,Residential Low Density,RL,R1S(X),6184.96,23-23471,LOT 2 1000 SHARON PARK PHASE 2 AMENDED RSM 92/50,01,94025,MENLO PARK,008,995 LASSEN DR,1,3.52457149616e-4
074231520,X,Residential Low Density,RL,R1S(X),5933.31,23-23470,LOT 1 1000 SHARON PARK PHASE 2 AMENDED RSM 92/50,01,94025,MENLO PARK,008,985 LASSEN DR,1,3.38115290462e-4
074231070,X,Residential Very Low Density,RVL,RES,15664.8,23-7060,LOT 77 SHARON HEIGHTS UNIT NO 13 RSM 63/16 18,01,94025,MENLO PARK,008,1025 WHITNEY DR,1,8.91542916795e-4
074351260,X,Residential Low Density,RL,R1S,10040.32,23-6797,LOT 16 SHARON WOODS RSM 73/20,01,94025,MENLO PARK,008,1150 DEANNA DR,1,5.72154753328e-4
074160300,X,Residential Very Low Density,RVL,RES,17578.71,23-7256,LOT 52 SHARON HEIGHTS UNIT NO 13 RSM 63/16 18,01,94025,MENLO PARK,008,5 TRINITY CT,1,0.001001731731888
074112510,X,Residential Low Density,RL,R1S,12740.4,23-7402,0.323 AC MOL HAV 86.02 FT FRONT ON SWLY LN OF SANTA   CRUZ AVE PTN OF LOT 14 TOBIN & TOBIN 440 AC TRACT RSM  1/99,01,94025,MENLO PARK,008,7 CAMPO BELLO LN,1,7.26020504495e-4
074161110,X,Residential Very Low Density,RVL,RES,15149.49,23-7239,LOT 28 SHARON HEIGHTS UNIT NO 13 RSM 63/16 18,01,94025,MENLO PARK,008,5 WHITNEY CT,1,8.63327108527e-4
074160310,X,Residential Very Low Density,RVL,RES,17427.21,23-7255,LOT 53 SHARON HEIGHTS UNIT NO 13 RSM 63/16 18,01,94025,MENLO PARK,008,3 TRINITY CT,1,9.9246294751e-4
074351280,X,Residential Low Density,RL,R1S,19192.29,23-6795,LOT 18 SHARON WOODS RSM 73/20,01,94025,MENLO PARK,008,1135 DEANNA DR,1,0.001093696297587
