OBJECTID,FACILITYID,ZONINGABBR,REZONINGFI,PDUSE,PDDENSITY,DEVELOPEDA,APPROVALDA,COLORCODE,LASTUPDATE,ENTERPRISE,Zone_descr,Zoning,PDDENS_NUM
1703,1703,A(PD),91067,Res,8,Yes,NA,1,2007-10-11T10:58:23.000Z,PLN-ZONI-0000001703,Planned Development,1,8
1704,1704,A(PD),91067,Res,8,Yes,NA,1,2007-10-11T10:58:23.000Z,PLN-ZONI-0000001704,Planned Development,1,8
1705,1705,A(PD),91067,Res,8,Yes,NA,1,2007-10-11T10:58:23.000Z,PLN-ZONI-0000001705,Planned Development,1,8
1706,1706,A(PD),91067,Res,12,Yes,NA,2,2005-08-17T00:00:00.000Z,PLN-ZONI-0000001706,Planned Development,1,12
1707,1707,A(PD),91068,Res,6.6,Yes,NA,1,2008-03-11T15:22:40.000Z,PLN-ZONI-0000001707,Planned Development,1,6.6
1708,1708,A(PD),91068,Res,6.6,Yes,NA,1,2008-03-11T15:22:40.000Z,PLN-ZONI-0000001708,Planned Development,1,6.6
1709,1709,A(PD),91068,Res,6.6,Yes,NA,1,2008-03-11T15:22:40.000Z,PLN-ZONI-0000001709,Planned Development,1,6.6
1710,1710,A(PD),91075,PQP,0,NA,NA,16,2005-08-17T00:00:00.000Z,PLN-ZONI-0000001710,Planned Development,0,0
1711,1711,A(PD),91076,OS,0,NA,NA,17,2008-03-12T07:57:32.000Z,PLN-ZONI-0000001711,Planned Development,0,0
1712,1712,A(PD),91076,Res,24.9,Yes,NA,2,2011-10-31T08:51:40.000Z,PLN-ZONI-0000001712,Planned Development,1,24.9
1713,1713,A(PD),91077,PQP,0,NA,NA,16,2007-11-08T15:58:35.000Z,PLN-ZONI-0000001713,Planned Development,0,0
1714,1714,A(PD),91078,Res,7.4,Yes,NA,1,2006-11-01T08:38:42.000Z,PLN-ZONI-0000001714,Planned Development,1,7.4
1715,1715,A(PD),91079,Com,0,NA,NA,6,2005-08-17T00:00:00.000Z,PLN-ZONI-0000001715,Planned Development,0,0
1716,1716,A(PD),91081,Res,1.5,Yes,NA,1,2012-05-14T06:47:40.000Z,PLN-ZONI-0000001716,Planned Development,1,1.5
1717,1717,A(PD),91081,Res,1.5,Yes,NA,1,2012-05-14T06:47:40.000Z,PLN-ZONI-0000001717,Planned Development,1,1.5
1718,1718,A(PD),91081,Res,1.5,Yes,NA,1,2012-05-14T06:47:40.000Z,PLN-ZONI-0000001718,Planned Development,1,1.5
1719,1719,A(PD),91085,Mix,0,Yes,NA,18,2007-09-27T14:24:58.000Z,PLN-ZONI-0000001719,Planned Development,1,0
1720,1720,A(PD),92001,Com,0,NA,NA,6,2005-08-17T00:00:00.000Z,PLN-ZONI-0000001720,Planned Development,0,0
1721,1721,A(PD),92002,Res,2,Yes,NA,1,2005-08-17T00:00:00.000Z,PLN-ZONI-0000001721,Planned Development,1,2
1722,1722,A(PD),92003,Res,22.5,Yes,NA,2,2005-08-17T00:00:00.000Z,PLN-ZONI-0000001722,Planned Development,1,22.5
1723,1723,A(PD),92013,Res,8.3,Yes,NA,2,2008-03-10T13:45:36.000Z,PLN-ZONI-0000001723,Planned Development,1,8.3
1724,1724,A(PD),92013,Res,8.3,Yes,NA,2,2008-03-10T13:45:36.000Z,PLN-ZONI-0000001724,Planned Development,1,8.3
1725,1725,A(PD),92018,Res,12.5,Yes,NA,2,2007-09-25T13:21:58.000Z,PLN-ZONI-0000001725,Planned Development,2,12.5
1726,1726,A(PD),92018,Res,12.5,Yes,NA,2,2007-09-25T13:21:58.000Z,PLN-ZONI-0000001726,Planned Development,2,12.5
1727,1727,A(PD),92027,Res,19,Yes,NA,2,2008-03-10T14:04:45.000Z,PLN-ZONI-0000001727,Planned Development,1,19
1728,1728,A(PD),92028,Res,6.6,Yes,NA,1,2008-01-09T13:54:39.000Z,PLN-ZONI-0000001728,Planned Development,1,6.6
1729,1729,A(PD),92028,Res,6.6,Yes,NA,1,2008-01-09T13:54:39.000Z,PLN-ZONI-0000001729,Planned Development,1,6.6
1730,1730,A(PD),92032,Res,5,Yes,NA,1,2007-10-10T16:01:39.000Z,PLN-ZONI-0000001730,Planned Development,1,5
1731,1731,A(PD),92035,Res,1,Yes,NA,1,2007-08-28T08:50:01.000Z,PLN-ZONI-0000001731,Planned Development,1,1
1732,1732,A(PD),92037,Res,24.8,Yes,NA,2,2011-10-31T08:51:19.000Z,PLN-ZONI-0000001732,Planned Development,1,24.8
1733,1733,A(PD),92042,Com,0,NA,NA,6,2008-11-25T15:46:47.000Z,PLN-ZONI-0000001733,Planned Development,0,0
1734,1734,A(PD),92048,Res,7.8,Yes,NA,1,2005-08-17T00:00:00.000Z,PLN-ZONI-0000001734,Planned Development,1,7.8
1735,1735,A(PD),92049,PQP,0,NA,NA,16,2010-11-08T08:11:15.000Z,PLN-ZONI-0000001735,Planned Development,0,0
1736,1736,A(PD),92051,Res,1.8,Yes,NA,1,2005-08-17T00:00:00.000Z,PLN-ZONI-0000001736,Planned Development,1,1.8
1737,1737,A(PD),92053,Res,15.2,Yes,NA,2,2006-10-31T15:48:50.000Z,PLN-ZONI-0000001737,Planned Development,1,15.2
1738,1738,A(PD),92054,Res,16,Yes,NA,2,2005-08-17T00:00:00.000Z,PLN-ZONI-0000001738,Planned Development,1,16
1739,1739,A(PD),92058,Res,10,Yes,NA,2,2008-03-10T13:49:02.000Z,PLN-ZONI-0000001739,Planned Development,1,10
1740,1740,A(PD),92060,Res,7,Yes,NA,1,2007-02-09T12:55:13.000Z,PLN-ZONI-0000001740,Planned Development,1,7
1741,1741,A(PD),92061,Res,23,Yes,NA,2,2008-03-11T07:49:11.000Z,PLN-ZONI-0000001741,Planned Development,1,23
1742,1742,A(PD),92062,Res,38.4,Yes,NA,3,2016-12-05T12:35:41.000Z,PLN-ZONI-0000001742,Planned Development,2,38.4
1743,1743,A(PD),93001,Res,7.5,Yes,NA,1,2008-11-06T08:01:24.000Z,PLN-ZONI-0000001743,Planned Development,1,7.5
1744,1744,A(PD),93002,Com,0,NA,NA,6,2007-08-21T09:38:57.000Z,PLN-ZONI-0000001744,Planned Development,0,0
1745,1745,A(PD),93008,Ind,0,NA,NA,13,2007-11-02T09:26:22.000Z,PLN-ZONI-0000001745,Planned Development,0,0
1746,1746,A(PD),93010,Res,8,Yes,NA,1,2010-02-05T13:32:17.000Z,PLN-ZONI-0000001746,Planned Development,2,8
1747,1747,A(PD),93011,Mix,29,Yes,NA,18,2008-03-10T08:07:48.000Z,PLN-ZONI-0000001747,Planned Development,2,29
1748,1748,A(PD),93013,PQP,0,NA,NA,16,2013-01-30T10:17:57.000Z,PLN-ZONI-0000001748,Planned Development,0,0
1749,1749,A(PD),93018,PQP,0,NA,NA,16,2007-04-13T13:57:42.000Z,PLN-ZONI-0000001749,Planned Development,0,0
1750,1750,A(PD),93019,Res,118.5,Yes,NA,3,2008-10-20T14:32:36.000Z,PLN-ZONI-0000001750,Planned Development,2,118.5
1751,1751,A(PD),93020,Res,34,Yes,NA,3,2008-05-13T15:51:16.000Z,PLN-ZONI-0000001751,Planned Development,2,34
1752,1752,A(PD),93024,Res,16.2,Yes,NA,2,2007-11-02T08:37:09.000Z,PLN-ZONI-0000001752,Planned Development,2,16.2
1753,1753,A(PD),93025,OS,0,NA,NA,17,2008-05-19T14:08:49.000Z,PLN-ZONI-0000001753,Planned Development,0,0
1754,1754,A(PD),93025,Res,9.7,Yes,NA,2,2007-11-02T09:32:52.000Z,PLN-ZONI-0000001754,Planned Development,1,9.7
1755,1755,A(PD),93025,Res,9.7,Yes,NA,2,2007-11-02T09:32:52.000Z,PLN-ZONI-0000001755,Planned Development,1,9.7
1756,1756,A(PD),93025,Res,9.7,Yes,NA,2,2007-11-02T09:32:52.000Z,PLN-ZONI-0000001756,Planned Development,1,9.7
1757,1757,A(PD),93025,Res,9.7,Yes,NA,2,2007-11-02T09:32:52.000Z,PLN-ZONI-0000001757,Planned Development,2,9.7
1758,1758,A(PD),93025,Res,9.7,Yes,NA,2,2007-11-02T09:32:52.000Z,PLN-ZONI-0000001758,Planned Development,1,9.7
1759,1759,A(PD),93025,Res,9.7,Yes,NA,2,2007-11-02T09:32:52.000Z,PLN-ZONI-0000001759,Planned Development,2,9.7
1760,1760,A(PD),93025,Res,9.7,Yes,NA,2,2007-11-02T09:32:52.000Z,PLN-ZONI-0000001760,Planned Development,2,9.7
1761,1761,A(PD),93025,Res,9.7,Yes,NA,2,2007-11-02T09:32:52.000Z,PLN-ZONI-0000001761,Planned Development,1,9.7
1762,1762,A(PD),93026,Res,1.8,Yes,NA,1,2007-08-30T12:52:53.000Z,PLN-ZONI-0000001762,Planned Development,1,1.8
1763,1763,A(PD),93028,Com,0,NA,NA,6,2007-09-28T09:10:51.000Z,PLN-ZONI-0000001763,Planned Development,0,0
1764,1764,A(PD),93030,Res,27,Yes,NA,3,2007-09-27T14:24:59.000Z,PLN-ZONI-0000001764,Planned Development,2,27
1765,1765,A(PD),93031,Res,0.5,Yes,NA,1,2007-08-28T10:02:52.000Z,PLN-ZONI-0000001765,Planned Development,2,0.5
1766,1766,A(PD),93037,PQP,0,NA,NA,16,2006-07-28T07:19:40.000Z,PLN-ZONI-0000001766,Planned Development,0,0
1767,1767,A(PD),93041,Res,10.3,Yes,NA,2,2005-08-17T00:00:00.000Z,PLN-ZONI-0000001767,Planned Development,1,10.3
1768,1768,A(PD),93041,Res,10.3,Yes,NA,2,2005-08-17T00:00:00.000Z,PLN-ZONI-0000001768,Planned Development,1,10.3
1769,1769,A(PD),93041,Res,10.3,Yes,NA,2,2005-08-17T00:00:00.000Z,PLN-ZONI-0000001769,Planned Development,1,10.3
